,actvalue,builtvalue,commvalue,entvalue,accvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-17 16:00:00,0.06937576312576314,5.397051282051281,50.44986666666668,24.453000000000007,22.1,15.073,216.303,,,,1.0,-0.4,1.0,49.90615999221803,,7.0
2014-03-18 16:00:00,0.014860561043815793,4.238714285714286,15.825888888888889,44.715,,11.076666666666668,,,,,1.0,0.4,0.2,19.95121433053698,1.0,6.2
2014-03-19 16:00:00,0.035826210826210805,4.9093333333333335,3.9517499999999997,,,,34.951,,,,1.0,0.75,0.5,19.800999959309895,,5.75
2014-03-20 16:00:00,0.024910607489101514,12.314807692307692,14.84366666666667,10.194500000000001,,10.029,,,,,,0.5,1.0,25.119374990463278,1.0,6.75
2014-03-21 16:00:00,0.06342579831057696,6.934142857142858,16.738142857142858,75.381,,,46.870666666666665,,,,1.0,0.5,0.75,143.49812498688686,1.0,6.5
2014-03-22 16:00:00,0.10756578947368416,8.630642857142858,32.834666666666664,49.829499999999996,13.047,11.067,63.77133333333334,,,,,0.0,,74.66930770874023,1.0,7.0
2014-03-23 16:00:00,0.10731287707390641,6.160416666666666,22.279200000000003,,3.016,10.417,81.67699999999998,,,,1.0,0.0,0.8,30.601266686121644,,6.6
2014-03-24 16:00:00,0.13354700854700852,6.077307692307694,40.008333333333326,,,8.023,57.1545,,,,,0.6,0.6,51.95433333184982,1.0,6.2
2014-03-25 16:00:00,0.07345053759409452,5.09890909090909,25.059,50.631,,13.038,15.567,,,,,1.0,0.4,27.01536362821406,1.0,5.4
2014-03-26 16:00:00,0.17791005291005288,7.858615384615386,93.175,486.1187142857143,32.3985,,221.426,,,,,-0.8,,508.92937502265033,1.0,6.0
2014-03-27 16:00:00,0.13361537235281856,7.523200000000001,70.516,,,,,,,,1.0,-0.3333333333333333,0.6666666666666666,47.94249995549515,1.0,6.666666666666667
2014-03-28 16:00:00,0.29023052902554375,4.132418604651163,12.651074074074076,,19.119,8.057,23.4905,,,,1.0,0.0,0.6666666666666666,20.049968749284748,,6.0
2014-03-29 16:00:00,0.004179728317659354,4.7021,4.02,246.68216666666663,,7.018,,,,,,-0.5,,89.50685719081329,1.0,6.4
2014-03-30 16:00:00,0.14214341692789967,6.151826086956523,16.608888888888888,,,9.117999999999999,,,,,1.0,0.6,,20.655000019073487,1.0,5.2
2014-03-31 16:00:00,0.2585646196645928,5.77635294117647,21.654444444444444,,,,16.112666666666666,20.4745,,,,-0.5,,147.35539999008205,1.0,5.5
2014-04-01 16:00:00,0.02313067179733847,3.422166666666667,4.541,,,,,,,,1.0,-0.4,1.0,7.419000029563899,,6.6
2014-04-02 16:00:00,0.03064149560117301,3.5907857142857145,35.079,1.014,,8.5775,8.4164,,,,1.0,-0.5,,797.1371818239041,,6.5
2014-04-03 16:00:00,0.11968830718830714,7.741727272727272,53.80477777777778,40.240500000000004,,8.016,36.1865,4.944,,,,-0.6,0.4,86.40162500739098,,5.6
2014-04-04 16:00:00,0.06262216934179414,8.435545454545453,39.360473684210525,1067.869,20.066,8.368,35.4468,,,,1.0,1.25,1.0,130.8771785838264,1.0,7.0
2014-04-05 16:00:00,0.1015997641994651,11.465270270270272,23.789599999999997,40.963,,8.55,30.967000000000002,,,19.138,,-1.2,1.0,63.703239984512294,,6.8
2014-04-06 16:00:00,0.24936417816292314,6.53024,28.425100000000004,,19.159,,35.3085,,,,,,,32.057076930999756,,7.0
2014-04-07 16:00:00,0.056669576800647374,4.193071428571429,26.410777777777778,51.298,26.12,,49.36,,,,1.0,,,159.38508333762454,1.0,6.4
2014-04-08 16:00:00,0.20650277324485466,4.2940000000000005,9.097,,11.053,,,,,,1.0,,,771.4942499995237,1.0,7.0
2014-04-09 16:00:00,0.14193796529495253,5.338428571428571,27.2615,56.525999999999996,,7.07,74.11833333333334,,,,1.0,0.2,,64.26800001368808,1.0,7.0
2014-04-10 16:00:00,0.0802083333333333,4.8852631578947365,11.931222222222223,,43.849,6.538,27.423,,,,,0.4,1.0,32.34000003337856,,6.8
2014-04-11 16:00:00,0.027906976744186,7.3870000000000005,63.5952,,,,,,,,,1.5,,19.714874923229225,,7.0
2014-04-12 16:00:00,0.051948051948052,3.2294615384615386,3.01,,,6.0520000000000005,46.323,,,,1.0,0.0,,9.74110002517701,1.0,7.0
2014-04-13 16:00:00,0.0,7.149666666666668,19.087,,,,,,,,1.0,,,10.178636355833568,,6.5
2014-04-14 16:00:00,0.05798611111111109,17.165000000000003,14.50375,,,,20.436999999999998,,,,1.0,0.6,,15.054571458271568,,6.8
2014-04-15 16:00:00,0.045286016949152505,13.022642857142856,48.781000000000006,,,7.089,,,,,1.0,1.8,,28.71870005130764,1.0,6.8
2014-04-16 16:00:00,0.14496816067074686,5.581600000000001,22.715800000000005,,,5.041,45.261,,,,1.0,-0.5,,38.54066667954132,1.0,7.25
2014-04-17 16:00:00,0.08880468133168586,8.034861111111109,27.045791666666663,56.527,51.205,6.5995,40.3216,,,,1.0,,,43.76653331915541,1.0,7.0
2014-04-18 16:00:00,0.006666666666666659,7.664545454545455,75.456,151.6592857142857,,,,,,,,0.5,1.0,135.75655550426916,,6.75
2014-04-19 16:00:00,0.10517598343685304,,,,,,,,,,1.0,1.25,,,1.0,7.25
2014-04-20 16:00:00,0.0,8.076222222222222,,,,,,,,,,1.6666666666666667,1.0,12.125833272933946,,7.0
2014-04-21 16:00:00,0.039855072463768,14.384190476190478,61.164500000000004,62.525,,14.093,33.32,,,,,0.8333333333333334,,57.13491666316986,1.0,6.833333333333333
2014-04-22 16:00:00,0.03954829760459017,5.777864406779661,38.15034210526316,102.214,34.9825,9.035,100.71,,,,1.0,0.6,,49.3492307479565,,7.0
