,time,value
1419640,2014-04-01 12:09:44.053,8.031
1419681,2014-04-01 15:17:21.851,31.247
1419682,2014-04-01 15:18:58.204,17.334
1419685,2014-04-01 15:19:19.522,8.708
1419716,2014-04-01 18:04:19.757,30.089000000000002
1419749,2014-04-01 21:20:31.556,35.303000000000004
1419859,2014-04-02 10:27:21.473,17.917
1419894,2014-04-02 12:29:47.219,29.916999999999998
1419895,2014-04-02 12:30:58.305,13.155999999999999
1419948,2014-04-02 15:42:22.846,31.031999999999996
1419949,2014-04-02 15:49:06.344,9.093
1420006,2014-04-02 18:11:41.938,16.123
1420051,2014-04-02 21:42:28.667,11.505999999999998
1420125,2014-04-03 09:35:00.516,14.265999999999998
1420192,2014-04-03 12:13:15.503,10.173
1420260,2014-04-03 14:57:34.280,9.202
1420357,2014-04-03 18:48:37.516,8.099
1420381,2014-04-03 21:07:51.299,14.392000000000001
1420428,2014-04-04 10:07:52.635,12.202
1420480,2014-04-04 13:12:28.548,35.28
1420525,2014-04-04 15:44:35.273,11.280999999999999
1420526,2014-04-04 15:46:18.135,18.686
1420527,2014-04-04 15:48:41.569,15.853
1420528,2014-04-04 15:49:51.785,13.814
1420529,2014-04-04 15:51:41.209,4.406000000000001
1420530,2014-04-04 16:41:18.295,14.120999999999999
1420559,2014-04-04 18:28:00.680,9.672
1420599,2014-04-04 21:21:54.316,13.537
1420646,2014-04-05 08:57:43.221,17.839000000000002
1420704,2014-04-05 12:12:37.779,3.81
1420705,2014-04-05 12:12:52.520,3.076
1420706,2014-04-05 12:12:55.805,28.798000000000002
1420707,2014-04-05 12:13:25.839,1.324
1420749,2014-04-05 15:42:22.665,8.152999999999999
1420808,2014-04-05 18:14:52.338,26.691
1420851,2014-04-05 21:05:49.545,11.206
1420973,2014-04-06 13:22:43.161,7.274
1421002,2014-04-06 14:56:54.035,5.1080000000000005
1421027,2014-04-06 18:41:59.723,8.56
1421063,2014-04-06 21:20:09.336,9.068999999999999
1421124,2014-04-07 09:25:39.711,11.192
1421157,2014-04-07 11:58:26.823,30.039
1421158,2014-04-07 12:06:49.342,8.122
1421222,2014-04-07 15:50:41.066,18.016
1421295,2014-04-07 18:00:59.706,25.076
1421317,2014-04-07 21:41:41.844,13.703
1421377,2014-04-08 09:32:19.592,15.110999999999999
1421458,2014-04-08 14:31:54.696,19.422
1421459,2014-04-08 14:33:32.282,13.262
1421460,2014-04-08 14:33:55.210,5.5889999999999995
1421462,2014-04-08 14:59:56.362,10.546
1421463,2014-04-08 15:14:28.165,3.013
1421465,2014-04-08 15:14:38.446,4.237
1421466,2014-04-08 15:35:49.604,19.702
1421535,2014-04-08 18:28:21.795,12.363
1421589,2014-04-08 22:51:41.239,31.189
1421637,2014-04-09 09:56:51.510,8.312000000000001
1421702,2014-04-09 13:13:38.878,1.287
1421734,2014-04-09 15:31:58.392,21.371
1421823,2014-04-09 19:09:26.582,9.321
1421840,2014-04-09 21:55:30.335,21.105999999999998
1421897,2014-04-10 09:15:53.029,32.165
1421943,2014-04-10 12:45:11.005,8.244
1422052,2014-04-10 17:42:18.844,31.363000000000003
1422063,2014-04-10 17:56:42.173,13.107000000000001
1422153,2014-04-10 21:28:19.329,56.335
1422315,2014-04-11 13:25:44.973,17.727
1422355,2014-04-11 16:26:42.852,37.893
1422356,2014-04-11 16:27:21.130,31.487
1422357,2014-04-11 16:28:21.355,7.919
1422358,2014-04-11 16:28:30.759,5.06
1422382,2014-04-11 19:19:54.516,36.042
1422712,2014-04-12 21:50:30.188,11.015999999999998
1422790,2014-04-13 09:18:40.756,8.196
1422819,2014-04-13 13:06:18.677,7.202999999999999
1422839,2014-04-13 15:36:40.538,50.611000000000004
1422861,2014-04-13 19:47:21.780,7.058
1422886,2014-04-13 21:48:49.009,6.044
1422969,2014-04-14 12:32:48.302,7.135
1423020,2014-04-14 16:08:44.654,6.021
1423044,2014-04-14 18:40:08.857,8.026
