,time,value
318611,2014-03-13 18:37:56.589,100.486
318612,2014-03-13 18:51:49.313,3.025
318613,2014-03-13 18:51:52.434,189.477
318614,2014-03-13 19:00:40.463,37.292
318615,2014-03-13 19:25:36.069,5.848
318616,2014-03-13 19:59:28.308,2.03
318623,2014-03-13 21:43:48.180,33.308
318624,2014-03-13 22:09:55.835,3.0780000000000003
318625,2014-03-13 22:09:58.963,104.118
318626,2014-03-13 23:18:14.776,2.173
318629,2014-03-13 23:21:21.313,32.56
318648,2014-03-14 07:29:10.926,30.309
318653,2014-03-14 07:35:17.444,153.554
318654,2014-03-14 07:47:11.716,9.187000000000001
318657,2014-03-14 07:57:47.207,33.876
318658,2014-03-14 08:05:32.298,2.336
318659,2014-03-14 08:05:49.279,9.245
318663,2014-03-14 08:32:07.183,53.133
318664,2014-03-14 08:42:59.336,5.235
318665,2014-03-14 08:55:21.522,5.148
318666,2014-03-14 08:55:29.934,5.07
318667,2014-03-14 08:55:38.736,2.0069999999999997
318690,2014-03-14 09:12:09.168,27.156
318691,2014-03-14 09:15:36.028,2.166
318694,2014-03-14 10:13:31.250,7.162000000000001
318695,2014-03-14 10:16:13.032,2.713
318696,2014-03-14 10:20:42.411,28.49
318697,2014-03-14 10:21:38.539,1.6059999999999999
318698,2014-03-14 10:22:21.184,28.796999999999997
318699,2014-03-14 10:22:52.072,4.488
318700,2014-03-14 10:23:44.875,2.036
318701,2014-03-14 10:23:47.035,34.372
318703,2014-03-14 10:24:27.655,49.54
318705,2014-03-14 10:25:31.075,32.854
318706,2014-03-14 10:26:06.757,9.032
318707,2014-03-14 10:29:44.099,4.246
318708,2014-03-14 10:29:59.892,7.02
318713,2014-03-14 10:35:06.230,41.003
318716,2014-03-14 10:54:59.424,30.215
318717,2014-03-14 10:55:53.558,30.160999999999998
318718,2014-03-14 11:13:44.914,3.315
318719,2014-03-14 11:13:49.288,19.177
318720,2014-03-14 11:14:08.509,6.377000000000001
318722,2014-03-14 11:15:31.240,30.059
318723,2014-03-14 11:21:40.661,3.072
318725,2014-03-14 11:21:45.243,44.504
318726,2014-03-14 11:25:06.144,30.099
318727,2014-03-14 11:28:59.546,47.71
318728,2014-03-14 11:30:09.571,30.085
318729,2014-03-14 11:31:03.020,111.006
318730,2014-03-14 11:32:54.029,216.02599999999998
318731,2014-03-14 11:36:30.068,8.117
318733,2014-03-14 11:37:34.737,29.974
318734,2014-03-14 11:40:32.233,30.09
318735,2014-03-14 11:43:00.141,30.214000000000002
318736,2014-03-14 11:43:45.915,30.037
318737,2014-03-14 12:16:08.256,5.331
318739,2014-03-14 12:16:36.684,8.072000000000001
318740,2014-03-14 12:16:44.809,29.715999999999998
318741,2014-03-14 12:17:51.946,57.551
318742,2014-03-14 12:25:48.029,46.19
318743,2014-03-14 12:26:34.226,2351.03
318744,2014-03-14 13:05:45.269,27.81
318745,2014-03-14 13:38:29.913,2.055
318746,2014-03-14 13:38:32.065,2.076
318747,2014-03-14 13:38:34.207,58.108999999999995
318748,2014-03-14 14:27:35.525,3.505
318749,2014-03-14 14:27:51.078,5.2010000000000005
318751,2014-03-14 15:07:18.737,6.124
318752,2014-03-14 15:07:25.134,49.856
318753,2014-03-14 15:08:25.901,17.285
318754,2014-03-14 15:08:43.293,17.101
318755,2014-03-14 15:09:00.401,2.7439999999999998
318756,2014-03-14 15:10:20.469,7.084
318757,2014-03-14 15:10:27.612,43.753
318758,2014-03-14 15:11:24.345,23.113000000000003
318759,2014-03-14 15:11:47.471,99.64200000000001
318760,2014-03-14 15:13:32.851,7.192
318761,2014-03-14 15:13:42.891,42.485
318762,2014-03-14 15:15:37.184,3.174
318765,2014-03-14 15:16:34.822,10.091000000000001
318766,2014-03-14 15:16:45.032,11.16
318767,2014-03-14 15:16:56.194,38.579
318768,2014-03-14 15:17:34.887,21.219
318769,2014-03-14 15:17:56.342,3.9410000000000003
318770,2014-03-14 15:19:45.864,29.88
318771,2014-03-14 16:28:22.891,7.025
318772,2014-03-14 16:28:29.937,7.107
318773,2014-03-14 16:28:37.140,30.351999999999997
318774,2014-03-14 17:13:45.878,13.008
318787,2014-03-14 17:25:03.717,13.257
318788,2014-03-14 17:25:17.002,40.605
318792,2014-03-14 17:27:24.308,8.027999999999999
