,actvalue,builtvalue,commvalue,entvalue,othervalue,socialvalue,travelvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-17 17:00:00,0.2081559091960704,10.885176136363635,37.863789062500004,502.2356,14.972999999999997,12.45525,,,1.0,0.4,0.6,38.58826455994256,1.0,7.2
2014-03-18 17:00:00,0.20107867059100318,19.354959595959592,32.872,24.308999999999997,16.45116666666667,8.151076923076923,,,,0.2,0.6,61.71768867519671,,7.6
2014-03-19 17:00:00,0.31578864531228207,13.635664,24.144548780487806,8.398399999999999,17.064666666666664,13.498285714285716,17.72390625,,1.0,0.0,0.0,36.45081691171082,1.0,6.666666666666667
2014-03-20 17:00:00,0.22435476842369392,14.765339869281046,43.33494202898551,14.818000000000003,10.117666666666667,13.2228125,28.303909090909087,,1.0,-0.4,0.8,51.43896052868746,1.0,7.2
2014-03-21 17:00:00,0.5340331997679776,7.624895306859208,23.13431506849315,56.82417647058823,9.39325,13.080744680851064,20.02906666666667,,1.0,-1.0,0.5,40.60572500427561,1.0,7.5
2014-03-22 17:00:00,0.23238067260843268,9.580383333333334,33.890076923076926,18.171157894736847,16.5006,16.89125,24.924022727272725,,1.0,-0.8,-0.2,41.63033988117395,1.0,6.2
2014-03-23 17:00:00,0.16414063796416734,7.485164835164835,26.757899999999996,25.60258333333334,14.3185,15.623285714285714,17.679399999999998,,1.0,0.0,-0.5,22.57652499973774,,6.25
2014-03-24 17:00:00,0.1865441774382539,10.208939393939396,49.858860465116294,213.57750000000001,13.60375,17.8853125,,,1.0,-0.5,0.5,26.09374269407395,,7.25
2014-03-25 17:00:00,0.2942354396908046,20.355604316546763,31.472952380952382,50.26704166666667,9.162600000000001,38.220125,,,1.0,-1.5,0.25,39.44435219794699,,7.25
2014-03-26 17:00:00,0.2464661458333405,12.114298387096772,37.00067857142858,4.1902,8.920166666666667,31.619999999999997,,4.4775333333333345,1.0,-0.6666666666666666,0.5,21.59325000345707,,7.166666666666667
2014-03-27 17:00:00,0.2340965578039269,19.695283464566927,28.714541176470586,44.89807142857143,61.0765,72.5027027027027,,,1.0,-0.5,0.5,40.71454267530906,,7.0
2014-03-28 17:00:00,0.4470323518045125,99.74758192090395,26.21696296296296,89.36200000000001,14.328444444444443,21.89085714285714,15.676375000000002,,1.0,-0.75,0.25,27.561717375465065,1.0,6.75
2014-03-29 17:00:00,0.2794565468279268,9.283361111111113,62.07614285714286,49.848352941176465,6.239166666666667,45.031749999999995,,,1.0,-0.6666666666666666,1.0,38.10064383402263,1.0,8.0
2014-03-30 17:00:00,0.16907307072149577,7.594827586206896,37.88743037974684,80.29811111111111,10.1782,19.5925,,,1.0,-1.0,0.3333333333333333,33.869344147768885,,6.666666666666667
2014-03-31 17:00:00,0.2334364293134306,18.3998345323741,15.018575757575759,6.3454,16.134666666666668,81.60069230769233,,,1.0,-0.2,1.0,18.64074095329607,1.0,7.8
2014-04-01 17:00:00,0.31341738789821744,15.776625806451612,32.691196078431375,102.26599999999999,23.786714285714286,12.51225,57.53333333333334,,1.0,-0.2,0.4,36.1285969298713,,7.2
2014-04-02 17:00:00,0.30943659061542633,9.181557575757575,28.054294642857144,33.76566666666667,12.254,11.112529411764706,,,1.0,-0.6,-0.4,33.30125001072883,,5.4
2014-04-03 17:00:00,0.21962027877983314,6.9091836734693866,26.32125581395349,35.84488888888888,14.813400000000001,18.499000000000002,26.5245,,1.0,-1.0,0.25,31.386759131494244,,6.5
2014-04-04 17:00:00,0.2831829516831519,12.322089552238806,37.33709210526315,57.683166666666665,10.776125,15.420900000000003,24.254437499999998,,1.0,-0.2,0.2,46.98706627610216,1.0,7.0
2014-04-05 17:00:00,0.3373199152788763,10.283703703703702,17.671338461538465,35.90590909090909,12.569749999999999,30.18775,,,1.0,-0.75,0.0,60.55258870317089,,6.0
2014-04-06 17:00:00,0.17305649762651729,11.90430909090909,36.65383720930233,81.99066666666666,14.166333333333332,26.761757575757578,,,1.0,-0.2,-0.2,47.89361110440008,,5.6
2014-04-07 17:00:00,0.2170004210010427,11.338895238095237,50.79157377049181,27.639999999999993,12.9661,34.041728813559324,,,1.0,-0.5,0.25,26.225185881822544,,6.5
2014-04-08 17:00:00,0.2265545170870762,8.531982352941178,28.590610526315782,35.046176470588236,14.9044,24.4118,,,1.0,-0.25,0.5,36.661934138772004,1.0,6.75
2014-04-09 17:00:00,0.25161513685208203,9.68183950617284,23.25798888888889,29.256304347826084,17.709,12.941571428571432,58.345888888888894,,1.0,-0.25,0.5,40.98139129341512,,7.0
2014-04-10 17:00:00,0.38764361241794526,12.430699999999998,28.828176470588236,18.8651,25.111375,14.272,,1.0225,1.0,-0.2,0.8,30.590078538625036,1.0,7.2
2014-04-11 17:00:00,0.41263296911439534,12.56997520661157,21.61423333333333,,36.042,17.19333333333333,15.773225000000002,,1.0,0.0,0.0,30.686365852995618,1.0,6.0
2014-04-12 17:00:00,0.3120834957104453,9.62911214953271,19.50686440677966,24.768000000000008,19.2565,20.680888888888887,17.090173913043476,3.4929999999999994,1.0,-0.5,-0.25,22.93316295941671,,6.75
2014-04-13 17:00:00,0.2056778442926869,10.163724137931034,28.294094339622642,5.63364705882353,6.564500000000001,12.840333333333332,8.5838,6.314,1.0,-0.75,0.75,27.438836366480054,1.0,7.5
2014-04-14 17:00:00,0.1980906225205495,10.487105263157895,22.724736842105262,4.9145,8.026,,,11.8464,1.0,0.4,0.8,27.43550002574922,1.0,7.8
2014-04-15 17:00:00,0.3929929003458417,9.290875,40.135,,,12.693000000000001,,,1.0,-0.5,1.0,39.674333320723655,1.0,7.5
