,actvalue,builtvalue,commvalue,entvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-25 14:00:00,0.11854998826272507,11.881780487804877,30.991595348837212,195.61725,17.056600000000003,112.21314285714286,65.46700000000001,,,1.0,-0.2,1.4,51.960435471227065,1.0,7.8
2014-03-26 14:00:00,0.07880747126436781,29.3839247311828,31.50621875,605.731,21.5832,153.55700000000002,63.877250000000004,,,1.0,0.0,-0.2,73.67959235731965,1.0,6.0
2014-03-27 14:00:00,0.09340343664347457,17.60645192307692,32.7921,33.03875,10.4466,187.60325,66.3945,,,1.0,0.6,1.4,66.83823077699057,1.0,8.0
2014-03-28 14:00:00,0.06278609249154006,26.280912280701752,40.393011904761906,461.63935714285714,64.11742857142858,87.38423076923075,42.39055555555555,43.58185714285714,14.226,1.0,-0.25,1.25,281.5634363564578,1.0,7.25
2014-03-29 14:00:00,0.08067172819457676,18.84749565217391,55.05795505617978,81.16921428571429,14.0445,89.64435999999999,44.138615384615385,,,1.0,0.6,0.2,164.1781971824001,1.0,6.2
2014-03-30 14:00:00,0.030558473389355734,17.499516129032255,51.20633333333333,710.3568,14.206800000000001,267.163875,,,,1.0,-0.8,0.2,140.45836470547843,,6.0
2014-03-31 14:00:00,0.08001290525270024,11.752967391304347,24.476329113924056,249.154,10.283249999999999,122.7356,69.28533333333333,,,1.0,-0.6666666666666666,0.6666666666666666,83.10942106999853,1.0,6.0
2014-04-01 14:00:00,0.11316107600064818,20.263007575757577,37.792722513089004,468.80779999999993,25.518250000000002,41.51325,237.15499999999997,,,1.0,-0.75,1.0,82.70741102446807,1.0,7.25
2014-04-02 14:00:00,0.12986111111111112,18.18215789473684,66.98956321839083,364.78225,10.456399999999999,130.497875,,,,1.0,-1.6,-0.2,122.17224137536408,1.0,5.0
2014-04-03 14:00:00,0.05968551980552611,9.521405797101451,26.765719999999998,565.9652857142858,22.234624999999998,109.2015,88.45633333333335,,,1.0,0.4,0.6,88.57652084281047,,7.0
2014-04-04 14:00:00,0.1038569089111358,18.629109090909093,36.55330894308943,127.08466666666666,33.236599999999996,146.78974999999997,50.117000000000004,150.612,363.429,1.0,-1.0,-0.3333333333333333,111.0868518573266,1.0,5.666666666666667
2014-04-05 14:00:00,0.18558167519881516,9.31478448275862,27.27704615384615,343.5994285714286,16.044666666666668,109.2335,,,1.002,1.0,-0.6666666666666666,0.6666666666666666,88.50785714310489,1.0,5.333333333333333
2014-04-06 14:00:00,0.07664400972590622,22.57469411764706,40.401125,189.6295,33.91316666666667,227.84375,,,,1.0,-0.3333333333333333,0.5,110.26586363803257,1.0,6.666666666666667
2014-04-07 14:00:00,0.08687950590072095,12.214581818181818,34.10552577319587,368.9134285714286,29.059142857142852,227.677875,,,,,-0.5,1.0,140.7437124848366,1.0,5.75
2014-04-08 14:00:00,0.0746243169398907,10.78129069767442,50.06523776223776,187.799,22.736333333333334,84.85485714285713,,37.724090909090904,,1.0,-0.6,0.4,92.54546602258401,,6.8
2014-04-09 14:00:00,0.10702208419599721,11.125191489361702,33.636941176470586,264.84560000000005,16.71016666666667,83.94164705882352,22.179,,6.0379999999999985,1.0,-0.6,0.4,167.75654545968234,1.0,6.4
2014-04-10 14:00:00,0.02291666666666667,11.08235135135135,26.474529411764706,1730.2720000000004,9.631,186.89000000000001,,,,1.0,0.5,-0.5,102.08797620024009,1.0,4.75
2014-04-11 14:00:00,0.14126113599709852,11.849305555555556,51.271946666666665,439.093,13.0495,181.20899999999997,40.76761111111111,72.282,,1.0,,,225.03053659927568,1.0,6.333333333333333
2014-04-12 14:00:00,0.07604166666666672,13.267643835616438,34.95178787878788,344.56945454545456,37.832800000000006,116.783625,,,,1.0,0.0,0.8,124.7194819364204,1.0,6.4
2014-04-13 14:00:00,0.019806255835667586,14.282534482758622,23.57912295081967,495.8494285714286,7.051399999999999,107.35400000000003,,,,1.0,-0.5,0.5,67.98328450013854,,6.25
2014-04-14 14:00:00,0.031434729027471145,11.364926829268292,49.49817073170732,212.4975,17.121000000000002,201.58749999999998,,,,1.0,0.0,0.8,118.24899997976097,1.0,6.8
2014-04-15 14:00:00,0.07831465919701215,17.01391176470588,46.21471653543306,114.387,21.871799999999997,140.298,,,,1.0,-1.3333333333333333,-0.3333333333333333,79.28248598419616,1.0,4.666666666666667
2014-04-16 14:00:00,0.12278025005297737,14.570130841121497,51.26390697674419,,39.858111111111114,144.85642857142858,33.254,22.088,,1.0,-1.4,0.0,62.754973915348884,1.0,4.0
2014-04-17 14:00:00,0.04482697740112995,24.825374999999998,54.7743,822.8045000000001,13.873166666666668,149.66799999999998,,,,,-1.0,-0.4,163.06962000370012,,4.4
2014-04-18 14:00:00,0.040314469781238406,39.10080769230769,87.00169444444444,573.9014999999999,18.112285714285715,143.1376,,,,1.0,-0.5,0.0,262.9929199981691,1.0,6.25
2014-04-19 14:00:00,0.032303338001867445,3.0167777777777776,21.71552380952381,14.091,28.906333333333333,64.072,,,,,0.0,0.6666666666666666,40.0382647303974,,6.666666666666667
2014-04-20 14:00:00,0.06907713498622588,9.891444444444444,70.0843,428.19849999999997,8.0415,152.8510625,333.368,32.364000000000004,,,-0.6666666666666666,0.0,295.8891714368548,,5.333333333333333
2014-04-21 14:00:00,0.11460129310344826,16.74604838709677,45.527186440677966,383.2215,27.025000000000006,53.208000000000006,68.256,,,,-0.8,0.8,108.71055765793875,1.0,6.2
