,actvalue,builtvalue,commvalue,entvalue,accvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-20 22:00:00,0.1352603179104657,12.93204961832061,55.95443046357617,54.33248,6.193,57.40200000000001,25.1096,74.87649295774649,70.41884615384616,45.173,22.136714285714284,1.0,0.2,0.2,160.75278571673798,,6.2
2014-03-21 22:00:00,,7.831913978494625,53.72202197802198,46.662,7.025333333333332,,14.020428571428573,36.63599999999999,37.305,,39.207,1.0,0.6,,48.518983995437615,1.0,6.4
2014-03-22 22:00:00,0.13923403181204616,13.150568181818182,51.79835443037975,31.44866666666667,,,12.137166666666667,39.459625,,,,,0.2,0.8,62.886182936226426,,6.8
2014-03-23 22:00:00,0.08076047153393921,5.069074866310161,44.83255172413793,122.121375,7.7509000000000015,3.01,11.092999999999998,77.90538636363638,83.961,,69.60600000000001,1.0,0.8,0.0,75.05540887240704,,6.0
2014-03-24 22:00:00,0.0938967598552898,8.414357142857144,57.01221897810219,34.103,10.7635,,29.803166666666666,65.25338461538462,,29.40287500000001,22.2893,,0.5,0.5,122.46312799453732,1.0,6.75
2014-03-25 22:00:00,0.10319022556157602,9.742291338582675,54.15196296296297,120.43766666666666,8.721833333333334,,16.249666666666666,126.03731034482759,,,,,-0.2,0.6,117.45420000132391,,6.6
2014-03-26 22:00:00,0.16352781024050406,8.024441176470589,50.59008064516129,82.7192,14.073,15.204250000000002,10.302600000000002,90.02145833333331,23.656999999999996,,17.93690909090909,1.0,0.5,1.0,139.6007450935887,1.0,7.0
2014-03-27 22:00:00,0.09210580065359482,,25.803078947368427,91.40027272727274,12.738,,33.28142857142857,25.63705,59.632052631578944,,28.800454545454546,1.0,-0.6666666666666666,0.5,57.480454545129454,,6.5
2014-03-28 22:00:00,0.06609702538738928,6.167481481481483,49.74445098039215,91.47261538461538,,,24.22771428571428,59.111,17.478333333333335,,25.02654166666667,1.0,0.2,1.0,104.23282757709772,1.0,8.0
2014-03-29 22:00:00,0.05052764695621842,35.31235849056604,37.54262962962963,182.60544444444443,,,12.333833333333333,55.895,,33.2385,38.296,,-0.5,0.75,181.9681818413012,,7.5
2014-03-30 22:00:00,0.07130155134409416,17.41598765432099,38.386210526315786,56.33424242424243,6.8758333333333335,,24.414,56.27729166666666,36.67620000000001,29.29,12.62975,1.0,0.0,0.6,68.64751219943287,,7.4
2014-03-31 22:00:00,0.11428301049537473,6.241362445414847,38.26338251366121,47.80904166666666,16.2384375,30.796000000000006,15.14875,46.804000000000016,115.33007142857142,,16.93555,1.0,0.2,0.0,114.86903551626484,,6.0
2014-04-01 22:00:00,0.09676653336593526,15.158481781376514,30.59178155339805,45.53121875,11.998826086956525,90.48100000000001,23.54526086956522,60.564311475409845,,,22.582142857142852,1.0,,,70.88646788881458,,6.5
2014-04-02 22:00:00,0.056016600626274886,9.624098654708519,42.708354515050175,50.82276,25.41133333333333,,14.260133333333336,42.37990384615386,,,17.935000000000006,1.0,-1.2,0.0,87.62629285965647,,6.4
2014-04-03 22:00:00,0.12421395278438675,9.481738738738736,54.45501851851851,92.25229411764704,,,22.100125,62.93704081632653,22.165375,,9.224736842105262,1.0,0.2,0.4,84.33747336991442,,6.2
2014-04-04 22:00:00,0.12736866815934125,,36.240965517241385,76.369,,,11.590428571428573,45.401,31.32416666666667,,13.217333333333334,,-0.4,0.6,90.6788405888323,1.0,6.8
2014-04-05 22:00:00,0.06303068079840035,36.07796799999999,48.7586567164179,93.60700000000001,,,19.85333333333333,64.292,,,9.2498,1.0,-0.75,0.5,80.19803571133386,,6.5
2014-04-06 22:00:00,0.052753954507651225,7.142541284403668,49.44814159292035,72.3426,9.2256,17.107,18.58642857142857,75.24318749999998,60.247,,65.72200000000001,,,0.25,64.95800812457635,,6.5
2014-04-07 22:00:00,0.06727383697283311,5.729633333333334,50.99255357142857,165.45095238095237,6.377000000000001,,31.219625,59.6288125,,,27.6275,1.0,-0.4,,83.69231819293715,,6.6
2014-04-08 22:00:00,0.12354603147301807,9.155832298136646,37.92788,64.07639999999999,,,43.33175,41.5612794117647,,,,1.0,-0.8,,60.224069772764715,,7.4
2014-04-09 22:00:00,0.08032333609638946,7.4966324786324785,68.70828712871287,183.13666666666668,,23.195,16.449833333333334,39.863533333333336,,,30.569000000000006,1.0,-0.25,0.75,105.70068643658851,,7.25
2014-04-10 22:00:00,0.08282283107494375,23.49809420289855,28.648536000000004,107.50576923076923,15.682166666666667,,7.371857142857144,45.73328571428571,34.234,,23.84977777777777,,-1.2,1.0,85.66333606790326,,7.4
2014-04-11 22:00:00,0.0569100091827365,8.359788461538463,,151.83863636363637,,,9.421714285714286,46.662,,,10.922235294117645,,-0.8,0.6,,,7.0
2014-04-12 22:00:00,0.02482023184886184,5.0846874999999985,58.89085714285714,146.0865,9.157,,9.93990909090909,22.1755,5.0310000000000015,,20.83925,,-1.3333333333333333,1.0,83.83952630193606,,8.0
2014-04-13 22:00:00,0.08303029037369601,6.0736011904761895,49.4092672413793,206.367,14.887166666666667,,11.701230769230774,134.035875,14.552,,26.303894736842107,1.0,-1.1666666666666667,0.6666666666666666,126.33591665625576,,7.333333333333332
2014-04-14 22:00:00,0.08991000320744567,6.236691983122362,37.03645390070922,62.77483333333334,4.347666666666666,,18.4025,81.10758620689654,8.363,,35.7863,1.0,0.0,0.8,88.44106014151322,1.0,6.4
