,acc_phone_x,acc_phone_y,acc_phone_z,prox_phone_distance,gyr_phone_x,gyr_phone_y,gyr_phone_z,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,labelelevator,labelonTable,labelstanding,labelwalking,cluster
2020-06-05 13:11:27.000,-0.058664439889272266,-0.04085635280149441,9.81819214266217,8.0,0.0012217241151237295,-0.0014856093175181161,0.003400616499561098,967.1407204695333,-37.318188630028494,5.9345472439097575,-61.75418162420557,1005.7200616419859,0.0,1.0,0.0,0.0,3
2020-06-05 13:11:27.250,-0.055411071860382737,-0.04636880908485647,9.812375766531906,7.993527508090615,0.0012187130668850047,-0.001436906174541704,0.003378201230575923,973.139461995196,-37.30202086910673,5.9445788628023575,-61.710715669893474,1005.7208964963803,0,0,0,0,3
2020-06-05 13:11:27.500,-0.05216297516321052,-0.051872333705698825,9.806568814501071,7.987055016181229,0.00121570689735432,-0.0013882819437642882,0.003355822280362656,979.1284839438894,-37.28587930433896,5.954594227773683,-61.66732014220418,1005.7217299984007,0,0,0,0,3
2020-06-05 13:11:27.750,-0.04891119143400799,-0.05738210557635483,9.800755270791566,7.980582524271845,0.0012126973154119342,-0.0013396025178635026,0.003333417926990866,985.1243042488994,-37.26971941666167,5.9646209615502,-61.62387535460025,1005.722564446118,0,0,0,0,3
2020-06-05 13:11:28.000,-0.0456598810195531,-0.06289107546978981,9.794942573270104,7.97411003236246,0.00120968817153082,-0.0012909301775168235,0.00331101683469383,991.11925182936,-37.253561881171656,5.9746462358762615,-61.58043689072079,1005.7233987725308,0,0,0,0,3
2020-06-05 13:11:28.250,-0.04241092040891902,-0.06839606389219938,9.789134076730816,7.967637540453074,0.0012066812024330918,-0.0012422930138957864,0.003288631932233425,997.109866710345,-37.23741602312127,5.984664264692026,-61.53702982079811,1005.7242324962712,0,0,0,0,3
2020-06-05 13:11:28.500,-0.03915858886582998,-0.07390676397017372,9.783319553644741,7.9611650485436884,0.001203671113479941,-0.0011936053871827827,0.0032662238044952226,1003.106697105098,-37.22125341308063,5.994692687622269,-61.493577714326456,1005.7250670843142,0,0,0,0,3
2020-06-05 13:11:28.750,-0.03590866778294065,-0.07941337980179032,9.777509339961613,7.954692556634304,0.001200663255448641,-0.0011449538452260185,0.0032438322845094077,1009.0990829583699,-37.20510278191952,6.004713678011568,-61.450157812259654,1005.7259010547906,0,0,0,0,3
2020-06-05 13:11:29.000,-0.03265837687877049,-0.08492062225292248,9.771698465136376,7.948220064724919,0.0011976550551417635,-0.0010962967670184749,0.0032214382165019523,1015.0921507088893,-37.18895031292756,6.014735808724692,-61.406732969253476,1005.7267351189633,0,0,0,0,3
2020-06-05 13:11:29.250,-0.029406626582656376,-0.0904303374750192,9.765884981187927,7.941747572815534,0.0011946455041423757,-0.0010476178416132015,0.0031990340934795465,1021.0879093681987,-37.17279059141035,6.024762439406322,-61.36328862842848,1005.7275695590463,0,0,0,0,3
2020-06-05 13:11:29.500,-0.026157030719672642,-0.09593640225909923,9.760075348948908,7.935275080906148,0.0011916379471079222,-0.0009989711682205852,0.003176644814214546,1027.07969556234,-37.15664157645393,6.034782426998095,-61.319873071336744,1005.728403444808,0,0,0,0,3
2020-06-05 13:11:29.750,-0.0229058602308747,-0.10144513506477973,9.754262901588833,7.9288025889967635,0.0011886289327301429,-0.0009503009225706104,0.0031542446859863012,1033.0743851409443,-37.140484736314185,6.04480726986326,-61.2764364769065,1005.7292377357907,0,0,0,0,3
2020-06-05 13:11:30.000,-0.01965496949626805,-0.10695339385914676,9.74845095437365,7.922330097087379,0.0011856201772699432,-0.0009016348648603301,0.00313184648522908,1039.068558891746,-37.12432928644364,6.0548312501366714,-61.23300361998697,1005.7300719545584,0,0,0,0,3
2020-06-05 13:11:30.250,-0.016404983506476616,-0.11246011966811742,9.742640624661176,7.915857605177994,0.0011826122591661369,-0.0008529823512426678,0.0031094545180406336,1045.0610644243422,-37.108178332712,6.064852440654284,-61.18958285075554,1005.7309059406873,0,0,0,0,3
2020-06-05 13:11:30.500,-0.013153621432653636,-0.11796917709241965,9.736827834786386,7.909385113268608,0.0011796030674734047,-0.0008043092375512251,0.0030870530698190405,1051.056107257754,-37.092020540508635,6.074877874275107,-61.14614369666143,1005.731740281096,0,0,0,0,3
2020-06-05 13:11:30.750,-0.00990328707251524,-0.12347649317453675,9.731016882259793,7.902912621359223,0.0011765948269472008,-0.0007556515088058325,0.003064658702406333,1057.0492551338637,-37.075867855538284,6.084900138983881,-61.1027182730561,1005.7325743564047,0,0,0,0,3
2020-06-05 13:11:31.000,-0.006652746045290978,-0.12898415943038502,9.725205560245344,7.8964401294498385,0.0011735863951465176,-0.0007069906862385874,0.003042262911084189,1063.042784076582,-37.05971414354672,6.094923040939642,-61.05929008841216,1005.7334084858643,0,0,0,0,3
2020-06-05 13:11:31.250,-0.0034016451799651834,-0.13449277426693587,9.71939323736952,7.889967637540453,0.0011705774452074266,-0.0006583214828573106,0.0030198632625556155,1069.0373452775768,-37.043557649417025,6.104947669133762,-61.01585442406449,1005.7342427583716,0,0,0,0,3
2020-06-05 13:11:31.500,-0.00015142268821905034,-0.13999990080112412,9.713582484826947,7.883495145631068,0.001167569308216126,-0.0006096654287887298,0.0029974696658985663,1075.0302868862461,-37.027405520381365,6.114969588902209,-60.97243049513733,1005.73507680562,0,0,0,0,3
