,time,value
457040,2014-04-21 12:14:04.601,62.482
457043,2014-04-21 12:21:32.244,14.074000000000002
457045,2014-04-21 12:21:56.414,100.399
457055,2014-04-21 12:42:13.746,62.193000000000005
457067,2014-04-21 14:43:46.177,160.441
457072,2014-04-21 14:48:39.089,37.652
457073,2014-04-21 14:50:03.302,1.88
457074,2014-04-21 14:50:57.348,4.1419999999999995
457080,2014-04-21 14:54:23.096,25.455
457081,2014-04-21 15:15:01.132,3.0069999999999997
457085,2014-04-21 15:15:20.210,1.004
457096,2014-04-21 16:19:50.581,171.648
457103,2014-04-21 16:55:49.484,15.109000000000002
457189,2014-04-22 00:44:48.148,84.90100000000001
457218,2014-04-22 08:14:08.022,37.239000000000004
457309,2014-04-22 10:41:12.549,40.23
457310,2014-04-22 10:42:19.065,5.225
457311,2014-04-22 10:42:38.033,4.708
457312,2014-04-22 10:51:40.857,5.181
457313,2014-04-22 10:59:25.201,51.037
457314,2014-04-22 11:07:50.200,4.022
457316,2014-04-22 11:08:00.256,161.882
457317,2014-04-22 11:14:23.473,279.279
457337,2014-04-22 12:30:23.700,28.081
457340,2014-04-22 12:36:26.943,9.038
457370,2014-04-22 13:00:51.799,9.17
457371,2014-04-22 13:04:46.312,18.271
457379,2014-04-22 13:07:39.565,73.541
457384,2014-04-22 13:14:46.020,4.016
457390,2014-04-22 13:29:26.973,28.095
457394,2014-04-22 13:35:35.934,13.055
457395,2014-04-22 13:35:49.118,200.891
457400,2014-04-22 13:44:32.661,4.013
457423,2014-04-22 15:21:33.033,18.323
457447,2014-04-22 16:16:59.203,10.067
457476,2014-04-22 18:42:25.700,177.875
457479,2014-04-22 18:45:44.701,2.013
457481,2014-04-22 18:46:23.908,5.025
457487,2014-04-22 18:48:36.535,7.018
457492,2014-04-22 20:44:47.555,15.434000000000001
457511,2014-04-22 21:06:15.615,16.041
457537,2014-04-23 10:33:47.137,5.034
457546,2014-04-23 12:04:06.285,56.218999999999994
457559,2014-04-23 15:49:01.216,18.072
457618,2014-04-23 18:25:28.305,11.046
457623,2014-04-23 18:26:01.559,128.991
457624,2014-04-23 19:49:44.624,4.023
457650,2014-04-23 22:43:49.059,27.945999999999998
457651,2014-04-23 22:54:08.697,14.75
457652,2014-04-23 22:55:52.470,10.136000000000001
457678,2014-04-24 07:16:42.033,108.113
457680,2014-04-24 07:19:20.562,33.777
457681,2014-04-24 07:20:45.528,1.4140000000000001
457683,2014-04-24 07:20:51.053,2.121
457732,2014-04-24 08:36:43.132,147.673
457761,2014-04-24 10:27:15.305,52.5
457764,2014-04-24 10:31:02.615,56.165
457766,2014-04-24 10:32:00.911,108.35700000000001
457768,2014-04-24 10:33:52.285,36.306999999999995
457769,2014-04-24 10:34:29.325,58.339
457772,2014-04-24 10:36:53.328,104.461
457773,2014-04-24 10:49:57.115,6.032
457774,2014-04-24 10:50:03.151,49.152
457776,2014-04-24 10:51:03.375,25.076999999999998
457779,2014-04-24 10:51:32.467,14.064
457781,2014-04-24 10:51:48.609,35.407
457785,2014-04-24 10:54:39.773,7.122999999999999
457791,2014-04-24 11:02:10.553,67.788
457792,2014-04-24 11:04:42.194,9.175
457804,2014-04-24 11:14:44.727,2.035
457810,2014-04-24 11:24:27.240,6.098
457814,2014-04-24 11:32:15.279,93.345
457821,2014-04-24 11:38:04.713,160.459
457824,2014-04-24 11:41:43.216,2.019
457826,2014-04-24 11:41:48.290,246.158
457834,2014-04-24 12:01:51.733,105.37899999999999
457836,2014-04-24 12:03:47.354,2.144
457839,2014-04-24 12:03:57.528,27.226
457841,2014-04-24 12:04:26.759,71.345
457843,2014-04-24 12:05:44.134,18.154
457844,2014-04-24 12:06:10.270,8.756
457845,2014-04-24 12:12:28.315,8.062000000000001
457870,2014-04-24 13:15:30.828,578.9159999999999
457901,2014-04-24 14:28:41.486,22.396
457905,2014-04-24 14:39:08.655,3.6069999999999998
457906,2014-04-24 14:39:27.848,4.245
457907,2014-04-24 14:46:42.125,6.307
457908,2014-04-24 14:47:49.068,4.596
457909,2014-04-24 14:56:11.448,4.034
457912,2014-04-24 14:56:37.730,23.354
457913,2014-04-24 14:57:12.312,5.063
457917,2014-04-24 14:57:51.782,20.067
457929,2014-04-24 15:06:44.477,3.01
457965,2014-04-24 16:25:54.279,3.165
457970,2014-04-24 23:22:26.394,124.665
457972,2014-04-24 23:24:40.117,3.0060000000000002
457976,2014-04-24 23:27:27.736,23.14
457983,2014-04-24 23:54:45.338,15.198
457993,2014-04-25 00:14:14.805,30.095
457994,2014-04-25 00:21:27.105,6.021
458020,2014-04-25 09:53:16.539,206.548
458021,2014-04-25 09:57:23.053,13.046
458028,2014-04-25 10:06:55.494,7.031000000000001
458029,2014-04-25 10:07:02.579,5.882999999999999
458031,2014-04-25 10:07:34.588,19.052
458037,2014-04-25 10:25:21.269,9.035
458038,2014-04-25 10:25:48.180,21.159000000000002
458127,2014-04-25 14:38:55.938,418.88
458133,2014-04-25 14:46:54.099,57.153
458138,2014-04-25 14:50:08.005,39.195
458140,2014-04-25 14:51:23.394,23.18
458160,2014-04-25 15:22:01.515,6.074
458163,2014-04-25 15:30:58.921,1.945
458164,2014-04-25 15:33:15.710,3.1519999999999997
458249,2014-04-25 16:54:49.690,6.082999999999999
458263,2014-04-25 17:03:36.918,3.07
458306,2014-04-25 17:47:43.460,18.444000000000003
458307,2014-04-25 17:54:20.776,42.166000000000004
458324,2014-04-25 18:21:41.062,10.047
458329,2014-04-25 18:22:28.348,18.192999999999998
458332,2014-04-25 18:24:19.487,10.13
458335,2014-04-25 18:25:13.555,19.052
458345,2014-04-25 18:56:30.578,40.3
458357,2014-04-25 20:49:07.298,4.027
458394,2014-04-25 21:40:10.056,51.476000000000006
458396,2014-04-25 21:41:08.589,1.002
458406,2014-04-25 21:45:19.362,30.250999999999998
458407,2014-04-25 21:46:03.601,21.462
458408,2014-04-25 21:46:42.250,0.8290000000000001
458409,2014-04-25 21:46:43.704,8.035
458413,2014-04-25 21:51:10.223,20.394000000000002
458414,2014-04-25 21:58:40.979,3.985
458415,2014-04-25 22:01:44.095,4.449
458416,2014-04-25 22:06:08.783,3.872
458417,2014-04-25 22:07:13.934,26.237
458420,2014-04-25 22:08:13.167,10.953
458421,2014-04-25 22:08:33.167,3.0189999999999997
458423,2014-04-25 22:09:31.424,25.410999999999998
458424,2014-04-25 22:10:15.681,4.481
458425,2014-04-25 22:14:06.236,32.611
458426,2014-04-25 23:10:45.285,14.109000000000002
458427,2014-04-25 23:11:03.865,5.032
458438,2014-04-25 23:32:47.378,38.988
458439,2014-04-25 23:34:00.619,4.04
458443,2014-04-25 23:38:14.542,1.01
458447,2014-04-26 00:20:37.296,38.225
458463,2014-04-26 03:00:44.226,0.32
458464,2014-04-26 03:19:50.533,3.0839999999999996
458484,2014-04-26 04:00:37.045,11.025
458586,2014-04-26 13:17:36.240,51.327
458588,2014-04-26 13:18:35.128,111.695
458589,2014-04-26 13:24:01.316,39.864000000000004
458590,2014-04-26 13:31:02.105,1.3519999999999999
458592,2014-04-26 13:31:07.601,3.025
458606,2014-04-26 14:23:12.525,67.29
458643,2014-04-26 16:02:01.387,4.055
458823,2014-04-27 00:08:45.088,54.205
458883,2014-04-27 10:00:44.253,107.59
458899,2014-04-27 11:50:47.227,66.567
458907,2014-04-27 11:56:19.815,36.191
458910,2014-04-27 12:00:49.864,6.211
458919,2014-04-27 13:53:30.453,124.64200000000001
