,time,value
2559786,2014-04-28 09:36:17.605,4.088
2559802,2014-04-28 09:53:48.311,6.105
2559805,2014-04-28 09:55:26.282,5.0680000000000005
2559807,2014-04-28 09:58:05.983,4.02
2559833,2014-04-28 10:29:33.572,7.626
2559834,2014-04-28 10:51:12.974,5.855
2559835,2014-04-28 10:55:18.964,9.12
2559836,2014-04-28 10:55:42.032,4.218
2559913,2014-04-28 12:41:47.112,8.352
2559914,2014-04-28 12:42:37.065,7.042999999999999
2559930,2014-04-28 12:56:35.963,6.042999999999999
2559938,2014-04-28 12:58:39.342,9.062000000000001
2559946,2014-04-28 13:03:08.213,5.043
2559978,2014-04-28 13:26:02.397,12.189
2560000,2014-04-28 13:48:54.690,8.043
2560001,2014-04-28 13:49:06.430,4.019
2560017,2014-04-28 14:35:15.588,53.677
2560018,2014-04-28 14:36:24.790,78.277
2560019,2014-04-28 14:42:51.846,10.124
2560212,2014-04-29 00:25:25.243,3.009
2560215,2014-04-29 00:26:22.542,6.662999999999999
2560216,2014-04-29 05:49:11.671,10.389000000000001
2560217,2014-04-29 06:50:24.411,13.13
2560218,2014-04-29 07:11:54.367,4.051
2560221,2014-04-29 07:12:48.846,5.018
2560224,2014-04-29 07:15:15.036,3.0060000000000002
2560233,2014-04-29 07:35:41.289,10.245
2560234,2014-04-29 07:38:42.888,5.037
2560238,2014-04-29 07:44:15.503,16.817
2560239,2014-04-29 07:46:33.384,4.0760000000000005
2560268,2014-04-29 08:22:10.082,7.026
2560481,2014-04-29 15:47:08.943,4.04
2560533,2014-04-29 16:33:38.654,5.129
2560806,2014-05-01 07:49:47.996,5.02
2560810,2014-05-01 08:00:07.552,4.046
2560816,2014-05-01 08:14:31.244,5.314
2560818,2014-05-01 08:18:06.200,7.41
2560819,2014-05-01 08:28:22.392,7.252999999999999
2560820,2014-05-01 08:33:54.085,3.009
2560871,2014-05-01 09:36:55.280,15.044
2560872,2014-05-01 09:37:10.336,34.635
2560873,2014-05-01 09:49:13.463,9.521
2560874,2014-05-01 09:56:22.496,4.013999999999999
2560920,2014-05-01 11:15:49.500,5.1
2561017,2014-05-01 12:09:55.453,3.009
2561139,2014-05-01 20:59:44.085,0.5660000000000001
2561140,2014-05-01 21:00:05.466,5.045
2561141,2014-05-01 21:00:14.249,4.0169999999999995
2561170,2014-05-01 21:21:46.911,12.095999999999998
2561175,2014-05-01 21:25:58.927,6.042000000000001
2561206,2014-05-02 00:39:52.908,6.024
2561207,2014-05-02 00:39:59.598,4.013999999999999
2561238,2014-05-02 16:16:20.575,16.058
2561242,2014-05-02 16:16:43.729,54.181999999999995
2561496,2014-05-04 11:05:45.184,3.205
2561504,2014-05-04 11:41:26.572,4.016
2561511,2014-05-04 13:25:57.878,6.154
2561549,2014-05-04 17:09:18.971,8.248
2561550,2014-05-04 17:27:32.154,3.21
2561564,2014-05-04 18:30:08.118,5.021
2561594,2014-05-04 18:54:01.256,22.359
2561598,2014-05-04 19:07:46.157,6.48
2561599,2014-05-04 19:08:53.220,5.027
2561622,2014-05-04 19:12:32.618,4.045
2561719,2014-05-04 22:50:19.509,1.706
2561720,2014-05-04 23:38:12.742,14.405
2561721,2014-05-04 23:52:38.782,4.849
2561722,2014-05-04 23:59:28.118,9.04
2562004,2014-05-06 08:07:08.262,3.0410000000000004
2562149,2014-05-06 12:34:12.674,4.2219999999999995
2562213,2014-05-06 19:44:57.703,4.189
2562325,2014-05-06 22:58:47.493,4.011
2562409,2014-05-07 20:42:01.176,3.187
2562454,2014-05-08 07:26:08.200,9.03
2562459,2014-05-08 07:29:35.398,3.005
2562467,2014-05-08 08:12:16.776,9.462
2562468,2014-05-08 08:15:48.931,4.075
2562476,2014-05-08 08:21:37.934,8.447000000000001
2562477,2014-05-08 08:21:51.275,7.05
2562483,2014-05-08 08:28:32.181,3.0210000000000004
2562487,2014-05-08 08:34:48.063,6.752000000000001
2562488,2014-05-08 08:43:26.426,10.032
2562600,2014-05-08 12:46:59.990,9.071
2562637,2014-05-08 13:56:27.128,4.021
2562641,2014-05-08 14:04:14.913,3.0060000000000002
2562646,2014-05-08 14:07:22.221,17.747
2562647,2014-05-08 14:33:03.838,3.162
2562648,2014-05-08 15:45:37.447,4.198
2562650,2014-05-08 15:45:51.878,3.0189999999999997
2562846,2014-05-09 16:43:13.395,2.839
2562847,2014-05-09 16:43:19.717,2.03
2562848,2014-05-09 16:45:07.836,3.5580000000000003
2562849,2014-05-09 16:45:50.239,8.05
2562954,2014-05-10 12:29:40.421,1.64
2562955,2014-05-10 12:29:42.947,4.032
2562968,2014-05-10 14:28:38.783,3.077
2563054,2014-05-10 16:57:52.023,27.133000000000003
2563055,2014-05-10 16:58:19.157,107.758
2563056,2014-05-10 17:00:17.565,23.71
2563057,2014-05-10 17:22:25.463,5.024
2563058,2014-05-10 17:22:41.039,3.1060000000000003
2563584,2014-05-13 10:28:19.049,12.474
2563585,2014-05-13 10:33:03.351,4.0169999999999995
2563741,2014-05-13 16:41:41.104,10.849
2563742,2014-05-13 16:44:20.154,2.044
2563877,2014-05-15 07:15:33.637,13.607000000000001
2563878,2014-05-15 07:17:34.532,5.044
2563897,2014-05-15 07:53:33.591,6.064
2563912,2014-05-15 08:08:55.645,6.193
2564015,2014-05-15 11:00:16.632,4.064
2564464,2014-05-16 14:00:23.829,19.074
2564465,2014-05-16 14:04:54.355,3.2030000000000003
2564545,2014-05-16 22:37:44.091,5.03
2564547,2014-05-16 22:38:01.257,2.031
2564747,2014-05-18 02:09:35.517,3.014
2564818,2014-05-18 15:07:13.607,4.037
2564924,2014-05-18 20:39:25.858,4.07
2565534,2014-05-22 19:54:11.483,3.636
2565535,2014-05-22 19:54:16.395,5.202000000000001
2565958,2014-05-25 03:39:47.611,5.018
2565961,2014-05-25 03:43:07.867,3.06
2565972,2014-05-25 03:57:46.864,11.411
2565973,2014-05-25 03:58:12.924,9.504
2565974,2014-05-25 04:01:56.592,18.059
2565979,2014-05-25 04:04:15.555,6.301
2565980,2014-05-25 04:07:43.561,4.077
2565981,2014-05-25 04:07:47.638,39.552
2566502,2014-05-27 11:30:49.519,1.001
2566503,2014-05-27 11:30:50.523,16.054000000000002
2566505,2014-05-27 11:31:19.654,39.118
2566623,2014-05-28 09:03:24.213,4.356
2566632,2014-05-28 09:08:32.466,5.018
2566642,2014-05-28 09:11:52.871,6.02
2566645,2014-05-28 09:14:07.572,3.1189999999999998
2566665,2014-05-28 09:41:56.953,3.03
2566671,2014-05-28 09:46:11.049,9.123
2567085,2014-05-29 16:18:22.219,1.188
2567105,2014-05-29 23:12:12.204,2.011
2567189,2014-05-30 10:08:55.105,11.360999999999999
2567190,2014-05-30 10:12:13.561,10.087
2567194,2014-05-30 10:16:56.842,4.085
2567196,2014-05-30 10:18:48.272,4.045
2567218,2014-05-30 10:48:07.361,22.564
2567219,2014-05-30 10:49:22.782,14.880999999999998
2567220,2014-05-30 10:49:37.673,6.332000000000001
2567221,2014-05-30 10:49:58.707,14.495999999999999
2567222,2014-05-30 10:50:59.608,14.452
2567223,2014-05-30 10:52:37.028,37.236999999999995
2567224,2014-05-30 10:53:14.276,76.903
2567225,2014-05-30 11:42:41.286,4.051
2567315,2014-05-30 15:05:58.599,4.306
2567367,2014-05-30 20:06:23.109,2.006
2567452,2014-05-30 22:32:05.016,6.019
