,actvalue,builtvalue,commvalue,entvalue,accvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-20 22:00:00,0.20927705237796873,7.64949593495935,38.165519999999994,154.66738095238097,,,66.96757142857143,157.58819999999997,,15.45,9.484181818181817,1.0,-0.4,1.2,118.87656730184186,1.0,7.8
2014-03-21 22:00:00,0.16085149185523526,13.51020689655172,102.00271428571429,240.85580000000002,,,54.65089999999999,141.1785,,27.630499999999998,6.3288,,-0.8,1.0,149.2605116311894,,7.6
2014-03-22 22:00:00,0.17984137063512223,9.515216981132076,90.47214754098361,260.4940909090909,,,132.56283333333332,176.29142105263162,,22.825333333333333,7.045749999999998,,-0.6,1.0,277.47068849938796,,7.8
2014-03-23 22:00:00,0.14658664982501451,8.422544776119404,58.89561728395062,211.10772727272726,16.172666666666668,45.81666666666666,149.52711111111108,123.86080000000001,,,5.889428571428573,,-0.2,1.0,152.63781111240397,,7.8
2014-03-24 22:00:00,0.1359013151016375,12.5013006993007,74.6632962962963,152.9203157894737,8.476333333333335,,70.59087500000001,93.1,,22.153,4.889266666666667,1.0,-0.2,1.0,133.47732540350108,,8.0
2014-03-25 22:00:00,0.1985236016940011,9.041687499999998,55.53866666666667,209.11924999999997,,129.701,115.97359999999999,81.64454054054055,,135.757,4.9297272727272725,1.0,0.2,0.6,146.14846715787903,,6.8
2014-03-26 22:00:00,0.1545323228070511,8.088782857142856,54.67748739495798,169.30565384615386,6.5285,36.242,17.0954,105.92850000000003,,58.149333333333324,6.90856,1.0,-0.75,1.0,120.75557970827904,,7.75
2014-03-27 22:00:00,0.25889172134668215,8.524015151515151,57.0425390625,140.92771428571433,,68.523,22.96545454545454,78.80436363636363,13.299499999999998,142.999,8.503666666666666,1.0,0.0,1.0,135.34810744829414,,7.8
2014-03-28 22:00:00,0.1329201619436652,10.165754716981132,117.48952631578946,248.2316818181818,6.544,225.147,35.71585714285714,97.12780000000001,,,3.9809230769230766,1.0,-1.4,1.0,323.91093651832097,,8.4
2014-03-29 22:00:00,0.11563411486030208,8.476542056074765,68.5786081081081,143.58866666666663,,,15.96975,120.7880625,51.675,2.007,5.281750000000001,1.0,-1.2,1.0,117.72598959257209,,7.6
2014-03-30 22:00:00,0.21712137835013606,5.945418439716312,66.60424590163935,85.60168181818183,,44.246,25.144,66.6910909090909,25.534,18.809466666666665,6.758916666666665,,-0.8,1.0,109.91185593605042,,7.6
