,time,value
385401,2014-04-13 12:57:22.094,5.047
385403,2014-04-13 12:57:43.285,19.456
385404,2014-04-13 12:58:02.841,6.105
385407,2014-04-13 12:58:30.201,6.157
385414,2014-04-13 13:01:24.276,158.5
385417,2014-04-13 13:06:56.667,5.105
385424,2014-04-13 14:13:55.579,97.546
385427,2014-04-13 15:02:32.216,16.058
385450,2014-04-13 15:21:34.694,7.028
385452,2014-04-13 15:22:10.849,4.011
385458,2014-04-13 15:39:57.832,60.317
385460,2014-04-13 15:41:40.078,18.064
385462,2014-04-13 15:42:58.938,18.08
385464,2014-04-13 15:46:33.151,8.043
385465,2014-04-13 15:46:41.194,55.233000000000004
385467,2014-04-13 15:49:15.799,5.171
385469,2014-04-13 15:51:25.726,10.031
385471,2014-04-13 15:55:20.765,5.26
385472,2014-04-13 15:55:26.026,104.67299999999999
385474,2014-04-13 15:57:12.724,7.055
385477,2014-04-13 15:57:53.305,13.054
385479,2014-04-13 15:58:11.431,10.035
385481,2014-04-13 15:58:28.493,9.055
385484,2014-04-13 16:02:44.413,5.056
385485,2014-04-13 16:02:49.470,8.09
385493,2014-04-13 16:20:23.668,4.041
385497,2014-04-13 16:21:58.413,10.091000000000001
385501,2014-04-13 17:00:43.108,7.087000000000001
385508,2014-04-13 17:31:06.385,6.077000000000001
385523,2014-04-13 18:55:35.448,4.09
385537,2014-04-13 20:07:38.773,10.073
385543,2014-04-13 20:19:19.528,31.113000000000003
385569,2014-04-14 09:19:55.479,33.168
385575,2014-04-14 09:36:58.155,41.581
385594,2014-04-14 10:47:58.762,163.369
385597,2014-04-14 10:53:38.871,10.107000000000001
385601,2014-04-14 10:57:12.826,25.111
385605,2014-04-14 10:58:03.131,276.903
385609,2014-04-14 11:02:59.444,9.075
385611,2014-04-14 11:03:09.525,14.054
385613,2014-04-14 11:03:39.707,9.027000000000001
385615,2014-04-14 11:11:42.921,7.178999999999999
385616,2014-04-14 11:11:50.109,21.259
385624,2014-04-14 12:56:37.759,8.033999999999999
385642,2014-04-14 14:00:11.707,43.678000000000004
385655,2014-04-14 14:52:11.776,10.15
385657,2014-04-14 14:52:22.946,11.075999999999999
385659,2014-04-14 14:57:49.926,5.141
385660,2014-04-14 14:57:55.151,35.139
385662,2014-04-14 14:58:54.569,16.125
385669,2014-04-14 15:19:01.822,5.023
385694,2014-04-14 18:23:14.799,41.266999999999996
385701,2014-04-14 18:30:54.608,111.427
385710,2014-04-14 19:16:34.249,15.975999999999999
385711,2014-04-14 19:19:48.711,5.021
385712,2014-04-14 19:19:53.733,125.648
385713,2014-04-14 19:21:59.384,2.021
385715,2014-04-14 19:23:11.867,5.016
385725,2014-04-14 20:13:01.140,12.043
385733,2014-04-14 20:40:01.309,5.074
385737,2014-04-14 20:42:52.484,16.105
385748,2014-04-15 06:58:44.311,16.117
385755,2014-04-15 07:54:46.766,26.32
385762,2014-04-15 08:43:01.914,8.024
385766,2014-04-15 08:52:18.006,75.475
385781,2014-04-15 09:22:07.032,47.221000000000004
