,time,value
2066634,2014-03-28 21:32:05.315,23.589000000000002
2066635,2014-03-28 21:38:51.775,3.01
2067028,2014-03-30 12:41:27.068,45.724
2067029,2014-03-30 12:42:12.798,53.913000000000004
2067030,2014-03-30 12:44:19.959,151.315
2067031,2014-03-30 13:06:49.092,4.4110000000000005
2067032,2014-03-30 13:13:48.703,3.012
2067493,2014-03-31 21:15:30.229,5.021
2067498,2014-03-31 21:16:58.335,46.047
2067739,2014-04-01 18:33:31.173,20.391
2067740,2014-04-01 18:48:29.835,1.665
2067741,2014-04-01 18:54:10.753,6.218999999999999
2068332,2014-04-03 21:57:39.926,2.01
2068577,2014-04-04 15:26:43.493,73.846
2069154,2014-04-07 11:24:13.170,32.218
2069155,2014-04-07 11:24:45.562,128.52200000000002
2069156,2014-04-07 11:30:31.767,3.0180000000000002
2069425,2014-04-08 10:47:45.457,3.011
2070138,2014-04-10 22:33:23.944,12.082
2070139,2014-04-10 22:33:36.028,65.669
2071205,2014-04-15 07:41:16.174,51.313
2073667,2014-04-25 18:47:03.934,50.25
2073694,2014-04-25 21:23:09.619,80.414
2074060,2014-04-28 11:10:28.438,77.396
2074404,2014-04-29 20:39:54.322,3.009
2074406,2014-04-29 20:40:08.086,126.67
2074547,2014-04-30 10:51:27.075,87.417
2074567,2014-04-30 11:35:11.388,55.239
2074908,2014-05-01 12:46:35.944,3.0069999999999997
2074919,2014-05-01 12:55:13.217,54.534
2074920,2014-05-01 12:57:53.772,2.258
2074921,2014-05-01 12:59:24.802,36.576
2074922,2014-05-01 13:02:41.832,3.017
2074935,2014-05-01 13:16:29.326,42.791000000000004
2074936,2014-05-01 13:17:18.927,25.1
2074958,2014-05-01 13:26:07.763,72.372
2075161,2014-05-02 07:18:56.823,93.055
2075162,2014-05-02 07:23:16.326,38.066
2075163,2014-05-02 07:45:28.740,5.6370000000000005
2075164,2014-05-02 07:48:56.420,30.029
2075165,2014-05-02 07:57:00.921,5.086
