,actvalue,builtvalue,commvalue,entvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-21 12:00:00,0.06110376946477519,49.82736764705882,253.95628571428577,,26.2314,5.037,,,,1.0,0.0,0.75,179.00102041205594,,5.25
2014-03-22 12:00:00,0.09315023033043353,29.5010303030303,36.38258974358974,,29.256333333333334,35.8065,,,,1.0,-1.4,0.2,48.88380952486916,,6.6
2014-03-23 12:00:00,0.04773513871515278,14.807527777777779,72.98084210526315,,12.286800000000001,67.619,,,,1.0,-0.2,0.8,40.99751217772323,,6.8
2014-03-24 12:00:00,0.1161008571568916,11.168212121212122,41.95642253521127,4.354166666666667,8.721,,,,,1.0,-0.75,0.5,55.674852946225364,,6.0
2014-03-25 12:00:00,0.09103230233509794,7.943155339805825,40.096712328767126,,8.013285714285715,,,,,1.0,-1.2,0.4,43.880975293524465,,5.8
2014-03-26 12:00:00,0.10060252131998519,14.887344827586206,42.012890625,,9.709599999999998,29.338,,2.006,,1.0,-0.2,0.4,55.63552173669787,,6.2
2014-03-27 12:00:00,0.15974397911338445,8.516571428571428,28.75981333333333,242.518,9.7396,17.388714285714286,,7.090400000000001,,1.0,-0.6,0.6,37.71020616698511,1.0,6.2
2014-03-28 12:00:00,0.11992594426152547,14.485951219512195,26.338829268292685,108.02083333333331,10.595,,,,,1.0,-0.4,1.2,53.02713333235847,,6.8
2014-03-29 12:00:00,0.16423598540998335,8.17169512195122,37.5922380952381,,15.758666666666665,,,,,1.0,0.2,1.2,33.09446807617836,1.0,7.2
2014-03-30 12:00:00,0.091660375673745,56.296037037037046,25.201780487804875,,10.681999999999999,,,,,1.0,-0.2,0.8,29.47155767220716,1.0,7.2
2014-03-31 12:00:00,0.08433233925754212,9.210939024390242,67.9465975609756,,8.103200000000001,,79.40566666666666,,,1.0,-0.6,0.8,100.7519062571227,,7.0
2014-04-01 12:00:00,0.13428304923409853,13.957092592592593,49.84369620253164,,10.090399999999999,7.952833333333333,,2.9406666666666665,,1.0,-0.2,0.4,39.594800011316934,,6.8
2014-04-02 12:00:00,0.10133858140957529,7.700119047619047,26.89828571428571,,8.669799999999999,,,,,1.0,0.4,1.0,37.46867273504082,,7.4
2014-04-03 12:00:00,0.07307714752567697,16.523772727272725,38.402619718309865,,9.4524,78.925,,,,1.0,0.0,0.4,60.969106067310676,,6.6
2014-04-04 12:00:00,0.1403544873043705,12.008631578947366,20.254121621621618,,26.952714285714286,20.518666666666665,,,,1.0,-0.8,0.8,33.406305893729716,,7.2
2014-04-05 12:00:00,0.14151132155560456,11.395698412698412,23.927351851851842,,13.4726,53.37,,,,1.0,-0.6,1.2,37.767939405007795,,8.2
2014-04-06 12:00:00,0.1276339463588483,8.546842105263158,27.749985074626867,,10.8702,,,,,1.0,-1.0,0.75,38.280582100597776,1.0,6.75
2014-04-07 12:00:00,0.16614767990634194,12.027968253968252,31.69033333333333,,11.3134,71.52666666666667,,,,1.0,-1.0,0.4,29.425113650885493,1.0,6.2
2014-04-08 12:00:00,0.08022618165539812,10.288192307692308,26.353172413793104,,7.878399999999999,,,,13.3355,1.0,-0.6,1.2,30.73641666911896,1.0,7.4
2014-04-09 12:00:00,0.10552580190637995,6.151508196721312,48.724127659574464,,11.922999999999998,11.268999999999998,,,,1.0,-0.2,0.8,42.98078463627742,1.0,7.0
2014-04-10 12:00:00,0.09144345238095242,47.945507246376806,23.777,,8.354750000000001,13.078,,,,1.0,-0.5,0.75,27.725666698955354,,6.75
2014-04-11 12:00:00,0.08555626505329601,23.83053846153846,23.94248684210526,,7.8548,9.676799999999998,,,,1.0,-0.2,1.0,39.998957751502466,,7.0
2014-04-12 12:00:00,0.07978705226509711,10.569530303030305,18.19788095238095,,11.3248,48.78727272727272,,,,1.0,-0.2,0.8,33.80515384215576,,7.2
2014-04-13 12:00:00,0.14218080572312328,8.103426666666666,25.54644444444444,,10.680200000000001,23.980499999999996,,,,1.0,-0.2,1.0,30.661394718446243,,7.0
2014-04-14 12:00:00,0.12874390496939522,31.23881818181818,41.12025619834711,,13.5338,,,10.5705,,1.0,0.2,0.8,64.41314736918399,,7.0
2014-04-15 12:00:00,0.12881944444444446,7.685819672131147,27.462986486486482,,16.043142857142858,28.2775,,4.2236666666666665,,1.0,-1.0,1.0,32.59642857313157,,6.4
2014-04-16 12:00:00,0.09007243522408966,2.690357142857143,87.73106521739132,,12.2994,39.86311111111111,,,,1.0,-0.4,1.0,36.011499997642304,1.0,7.0
2014-04-17 12:00:00,0.060830999066293155,6.71921875,62.768542857142855,,8.8738,,,,,1.0,-1.4,1.2,74.02235291050933,,6.8
2014-04-18 12:00:00,0.06634862278244634,4.70612,55.21489473684211,,7.227833333333334,47.02700000000001,,,,1.0,-0.6,0.8,75.88897619360971,1.0,6.6
2014-04-19 12:00:00,0.11416043091959997,14.94409722222222,27.270740740740738,,11.1036,19.930333333333333,,2.8930000000000007,,1.0,-0.2,0.8,29.82631666262946,,7.0
2014-04-20 12:00:00,0.0960130941938751,7.201,20.911241379310347,,9.5418,3343.139111111112,,,,1.0,-0.2,1.2,29.24113790742282,,7.2
2014-04-21 12:00:00,0.1813865094760939,8.374704918032787,30.795478260869576,,8.328199999999999,5.042,,,,1.0,0.2,1.0,40.673090909466595,,6.8
2014-04-22 12:00:00,0.11165486385729899,3.9870824742268036,36.624805555555554,,8.245714285714287,8.489666666666666,,,,1.0,0.5,1.25,21.735351853900486,,6.5
2014-04-23 12:00:00,0.12133485200528682,6.778655737704919,53.11784705882353,,30.859499999999997,32.1945,,,,1.0,-0.75,1.0,52.64564473064322,1.0,6.25
2014-04-24 12:00:00,0.0706058863980036,4.024545454545454,29.802699999999998,,11.3295,,,,,1.0,-0.75,0.75,35.159128237993286,,6.5
2014-04-25 12:00:00,0.13024733371741073,18.71429090909091,46.37645283018868,546.49,6.9015,25.875700000000002,,,1.8265,1.0,-0.4,0.8,42.94630300276208,,7.4
2014-04-26 12:00:00,0.21960392352843186,43.47732352941176,38.45671428571429,,26.461400000000005,45.5955,,,,1.0,-0.2,1.4,63.350606058583104,1.0,7.0
2014-04-27 12:00:00,0.06186543457962895,7.461224137931034,63.865175438596495,,11.327,33.88877777777778,14.616636363636365,,,1.0,-1.2,0.8,41.23053946620539,,6.4
2014-04-28 12:00:00,0.07596609000370913,23.7642,58.283142857142856,,11.479,27.666481481481483,,,,1.0,0.0,0.6,42.34034424140803,,6.6
2014-04-29 12:00:00,0.013940611697209518,6.190465517241379,33.2271914893617,,9.6708,61.057,,,,1.0,0.6,0.6,39.23601721073019,,7.2
2014-04-30 12:00:00,0.0795800010230518,8.505268817204302,35.064567567567565,5.125,9.8576,48.76942857142858,,,,1.0,0.6,0.8,54.04521428857532,,7.0
2014-05-01 12:00:00,0.11524263046311134,8.354039215686274,37.949645833333335,,11.703800000000001,14.167333333333334,,1.5145,,1.0,-0.4,0.8,41.28320689447998,,6.8
2014-05-02 12:00:00,0.18770523264278224,12.424358974358976,62.878486486486494,,13.118799999999998,,,1.5185,,1.0,0.6,1.2,39.53426028604377,,8.0
2014-05-03 12:00:00,0.1986016151759252,9.356118421052631,28.633291666666665,,12.446833333333332,40.630583333333334,,,,1.0,0.2,0.8,36.051730774916145,1.0,7.0
2014-05-04 12:00:00,0.06020946708202728,59.291625,86.50862162162161,,13.315,,,,,,-0.3333333333333333,1.0,42.09471111297607,,6.833333333333333
