,actvalue,builtvalue,commvalue,entvalue,accvalue,offvalue,othervalue,socialvalue,travelvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-04-02 11:00:00,0.1717958446303327,16.760571428571428,27.74561111111111,7.023,,5.567353658536586,24.099874999999997,110.36561904761905,,4.708666666666667,,0.0,1.4,53.87870310992004,,8.4
2014-04-03 11:00:00,0.0979448388550823,6.357421052631579,24.74247619047619,,,21.181423728813563,25.119799999999998,96.63747058823529,45.35850000000001,,,-1.25,0.0,63.52428333361944,,7.25
2014-04-04 11:00:00,0.0576776968237116,4.583764705882352,21.886142857142858,34.413199999999996,,3.8538133333333335,14.2934,96.84766666666665,101.06666666666668,,1.0,-0.5,1.0,88.11609522501628,,8.0
2014-04-05 11:00:00,0.18009922535240963,15.750687499999998,34.64436507936508,,,6.235403508771929,18.89225,78.50651282051282,46.3235,,,0.75,0.75,58.66196226848743,1.0,8.25
2014-04-06 11:00:00,0.12777728186728468,11.346857142857143,43.06847826086956,,,4.049580000000001,34.6275,144.760640625,,5.019333333333333,,0.0,0.8333333333333334,140.92635713304793,,7.8
2014-04-07 11:00:00,0.14666631459746426,19.42362962962963,36.356360465116275,105.93700000000001,,5.68937912087912,20.145222222222223,41.39799090909091,28.661666666666665,,,-0.4,0.4,57.11167630708287,1.0,7.4
2014-04-08 11:00:00,0.1308604827692127,20.232574468085108,42.60236666666666,47.34788888888889,,6.727339181286551,15.316999999999998,86.81194444444446,48.502,,,-0.8,0.8,93.70659259690179,1.0,7.4
2014-04-09 11:00:00,0.11034413192079538,17.848823529411767,48.30266666666667,,,6.895382352941178,11.706199999999999,96.47759459459459,,1.0074999999999998,1.0,0.4,0.6,73.06351764622858,,8.0
2014-04-10 11:00:00,0.08976291534224157,14.294839999999999,36.0041489361702,24.600500000000004,27.183000000000003,6.329999999999999,80.47700000000002,137.23032,,,,0.2,1.0,111.97795309126374,1.0,8.2
2014-04-11 11:00:00,0.03149561903816328,5.943200000000001,53.48306779661016,25.059500000000003,,12.39839189189189,10.099,59.471,,1.3470000000000002,,0.0,0.6,84.95203658138838,1.0,7.4
2014-04-12 11:00:00,0.11013248440645368,6.396875,31.658020833333335,32.26199999999999,,4.469548387096776,9.167777777777777,75.20517647058823,35.121,,,0.75,0.75,63.076896548271094,,8.25
2014-04-13 11:00:00,0.10086248974473137,32.54892307692308,31.737185185185186,45.734500000000004,,5.5605,20.109857142857148,118.68861764705883,,,,0.4,0.6,127.41980433723201,,8.0
2014-04-14 11:00:00,0.23341572316706027,24.789142857142856,43.40604477611941,,,6.028412280701754,17.8338,79.53527272727273,,,,-0.6,1.4,75.31102020331105,,8.4
2014-04-15 11:00:00,0.08402516980243424,7.4014444444444445,39.54679569892473,187.25655555555556,,5.525030769230769,12.850222222222222,64.8270625,,,,-0.75,0.75,82.580682516098,1.0,7.75
2014-04-16 11:00:00,0.058109223108691106,9.738717948717948,40.20410714285715,74.402,1.004,5.010590163934427,16.5272,52.912876288659795,45.63677777777778,1.006,1.0,0.0,1.0,70.26974049550064,1.0,8.0
2014-04-17 11:00:00,0.12532028989544258,16.47704347826087,84.52151136363636,22.31,,6.091738461538462,15.545333333333332,63.141124999999995,34.707,,1.0,1.0,0.4,64.1810652224914,1.0,7.6
2014-04-18 11:00:00,0.13015643697037013,8.879864864864865,54.48304878048781,487.892,,15.677368421052632,17.5244,84.70227906976744,64.902,1.3436666666666666,1.0,-0.75,0.5,106.33772464766015,1.0,7.5
2014-04-19 11:00:00,0.043055555555555534,15.123681818181819,38.19444444444444,,,399.5416867469879,17.2832,83.5981730769231,30.28,,,-0.2,0.4,114.34840624034405,1.0,7.2
2014-04-20 11:00:00,0.02959770114942527,7.812111111111112,52.14915,,,4.912333333333333,15.883199999999999,42.10128947368421,,,,-0.5,0.75,91.15832352638249,,8.0
2014-04-21 11:00:00,0.14375000000000002,9.02924,40.07645882352941,117.69,,9.952,24.250500000000002,70.53289189189188,35.18257142857143,,,-0.4,0.4,85.68632967655475,1.0,6.8
2014-04-22 11:00:00,0.15904709623612548,24.88138461538461,38.59449462365591,39.2,,8.688291666666666,8.103399999999999,55.66769117647059,31.44337037037037,1.3478333333333332,1.0,0.2,-0.2,66.13602941176472,1.0,6.4
2014-04-23 11:00:00,0.07839550385638204,6.978125,35.43405,397.754,,7.323084337349398,7.639799999999999,88.23014285714285,,27.062,1.0,0.2,0.6,97.61213224387366,1.0,7.4
2014-04-24 11:00:00,0.2771533503353667,9.403041666666667,28.938436170212764,1088.969,,4.862982558139535,10.0448,54.22356818181818,42.64946153846154,,,0.6,1.2,50.637758402216384,1.0,8.2
2014-04-25 11:00:00,0.13759847728531857,26.449315789473687,38.021315217391304,,,7.676654867256637,8.468799999999998,73.7572857142857,44.7695,1.0200000000000002,,-0.5,0.5,54.82222034769544,,7.0
2014-04-26 11:00:00,0.21351352446591723,18.744675675675673,27.320505376344087,,,7.733370689655174,19.686999999999998,100.06912244897958,,,1.0,-0.25,0.0,71.74697601699829,1.0,6.0
2014-04-27 11:00:00,0.05236916380322932,32.23516666666667,30.976132075471693,52.983666666666664,,5.453716049382716,10.6546,143.9265277777778,,,,-0.5,0.0,85.52767416064658,,6.5
2014-04-28 11:00:00,0.11541581376140202,14.217816326530611,25.571963414634144,218.31728571428576,,6.761403508771931,12.0698,76.0355,65.38471428571428,,,-0.4,0.6,79.4548411302477,,7.2
