,actvalue,builtvalue,commvalue,entvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-04-14 18:00:00,0.06376772460396588,9.693632812499999,41.04236,10.026,,19.827090909090906,16.716900000000003,78.393,,3.5564999999999998,1.0,0.25,,42.5487096694208,1.0,7.75
2014-04-15 18:00:00,0.08691632851541829,7.3824,57.97905555555555,,,17.5588,72.467625,113.599,,,1.0,-0.4,,78.69213332600063,1.0,7.6
2014-04-16 18:00:00,0.07741867049489035,11.487953846153848,106.69384848484849,,,13.9164,49.39558333333334,,,1.851,1.0,-1.4,0.0,99.14256059400961,1.0,6.8
2014-04-17 18:00:00,0.13249803187718792,41.82694117647059,61.90353488372093,,,15.9786,24.503999999999998,,,,1.0,-0.5,0.75,102.86441271267243,1.0,6.75
2014-04-18 18:00:00,0.05995689819051264,27.395348148148152,61.413428571428575,1.5074999999999998,,9.084666666666665,53.12263157894736,,,1.3493333333333333,1.0,0.2,1.0,75.35488708557621,1.0,7.2
2014-04-19 18:00:00,0.033333333333333354,9.898564814814815,193.3674857142857,,,10.467,43.96942105263158,,,4.086,1.0,0.25,0.75,97.39004442956714,,7.5
2014-04-20 18:00:00,0.09166666666666666,7.6272586206896555,93.36388461538462,,,8.133,53.331695652173906,,6.546142857142857,8.55775,,0.75,1.0,140.29146873950964,,7.75
2014-04-21 18:00:00,0.06429111789055662,9.501960396039603,79.10848275862068,9.241900000000001,,8.410166666666667,26.26477777777778,,,1.861,1.0,0.5,0.8333333333333334,66.47087038004844,1.0,7.333333333333333
2014-04-22 18:00:00,0.051463763646396786,7.546081632653061,15.213166666666666,,,12.459,82.30866666666667,,,3.518,1.0,0.5,,47.328047616141184,,7.75
2014-04-23 18:00:00,0.04223848122256685,9.154494845360826,71.02369565217391,,,8.8375,18.659444444444443,,,4.536666666666668,1.0,,,79.44754286493577,,6.75
2014-04-24 18:00:00,0.06568049122425675,8.900518518518519,60.43372727272726,,36.117,9.369200000000001,38.022333333333336,29.138,,,1.0,0.0,0.2,85.46422368288043,1.0,6.6
2014-04-25 18:00:00,0.2470781312795212,7.327757575757577,17.11475,12.057666666666668,,15.5378,12.024571428571429,41.7175,,14.416666666666666,1.0,1.0,,28.881128237797657,1.0,7.0
2014-04-26 18:00:00,0.17032013936633633,7.621353846153847,45.14042857142857,3.221,,8.59225,,104.08249999999998,,,1.0,-0.75,0.75,64.7504782780357,1.0,7.0
2014-04-27 18:00:00,0.08111028903249405,10.003951219512194,76.1725,,,10.5558,29.565,,,4.5344,1.0,-0.2,0.6,85.24961538498218,1.0,6.8
2014-04-28 18:00:00,0.04890790048798586,6.817765432098766,47.60155714285715,14.107000000000001,9.6115,8.164600000000002,24.798769230769228,,,2.548,1.0,1.0,0.2,63.88688312877311,,6.4
2014-04-29 18:00:00,0.12084180437544258,15.326933333333333,82.47591666666666,12.261125,36.37,10.16675,21.9524,,11.036,3.30775,1.0,1.3333333333333333,0.6666666666666666,74.60404597205677,1.0,6.333333333333333
2014-04-30 18:00:00,0.13982759372893935,17.698507142857142,68.2687027027027,,,9.8825,86.97333333333331,,13.247,7.25,,-0.5,1.0,105.4558448339331,,7.5
2014-05-01 18:00:00,0.02830412131428855,13.7325593220339,82.05233333333334,,,12.2856,115.82314285714286,,,,,-1.2,1.0,180.91252634399805,,7.0
2014-05-02 18:00:00,0.10257370115282795,12.78470422535211,104.72740000000002,,91.312,9.837,,,24.597714285714286,,1.0,-1.4,1.0,50.42242223421733,,6.8
2014-05-03 18:00:00,0.03652106215809414,28.199157480314966,67.96770967741935,4.022,55.66283333333334,8.062999999999999,,,285.084,,,-1.0,1.0,56.40456789805563,,7.0
2014-05-04 18:00:00,0.14360387034417177,8.64522,64.13240000000002,,,11.959399999999999,53.18716666666666,,156.61700000000005,,,-0.25,0.5,114.67334212127483,,6.5
2014-05-05 18:00:00,0.18179055099348207,18.624677685950417,56.859959999999994,,,,38.698499999999996,,179.859,,1.0,,,59.62159320459529,,
2014-05-06 18:00:00,0.011864342731628182,12.4724,60.652378378378366,,,17.50625,12.059500000000002,,,2.8208,,1.0,,107.7458666695488,,6.75
2014-05-07 18:00:00,0.0949902560882122,7.94573,56.28741379310345,,,10.117,13.76530769230769,,,3.03,1.0,0.5,,55.21227087080478,1.0,7.0
2014-05-08 18:00:00,0.05202719958764323,14.27882051282051,69.28315555555555,36.429153846153845,41.6228,15.7486,,11.381666666666668,,1.6025,1.0,,,94.69664407988728,,7.5
2014-05-09 18:00:00,0.12389414098972922,37.12073387096775,79.630125,12.476333333333335,,11.87425,33.20004545454546,,,,1.0,,,117.76758331557112,,7.25
2014-05-10 18:00:00,0.013965929995527279,15.208855555555553,42.72941666666667,,,10.55425,242.947,,339.49300000000005,3.085,,,,72.79859089851388,,7.0
2014-05-11 18:00:00,0.09160612035746714,17.93904368932039,59.26648529411765,22.56323529411765,37.506750000000004,8.852,24.2908,,3.403,2.01425,,-0.8,,100.74094948142461,1.0,7.2
2014-05-12 18:00:00,0.08162640056022413,10.062243902439025,67.3145394736842,,7.0625,10.6015,19.3062,,,4.999833333333334,1.0,-0.4,0.8,108.73968181465608,,7.4
2014-05-13 18:00:00,0.07089651248736488,11.961556291390727,60.55707894736843,25.947999999999997,,11.163599999999999,20.988519999999998,,,9.983,1.0,-1.0,0.0,59.46335366586359,1.0,5.8
2014-05-14 18:00:00,0.04787564073144829,13.481172131147542,110.97668421052632,16.671,39.219,12.333,20.78616666666667,23.2,,3.5103333333333335,1.0,0.0,0.0,106.76080768536299,1.0,5.8
2014-05-15 18:00:00,0.01811510074231989,13.744611510791367,35.238875,,,13.109749999999998,32.09494736842105,,,,1.0,-0.5,0.75,55.856559563250755,1.0,6.75
2014-05-16 18:00:00,0.043532594949142724,21.960927835051542,59.44391176470588,,,9.056000000000001,20.718333333333337,,,5.029,1.0,0.2,1.2,118.56013953408534,,7.6
2014-05-17 18:00:00,0.021874999999999988,11.29951219512195,55.12316455696203,6.015,,8.8886,31.86557142857143,,,7.070999999999999,1.0,-0.6,,62.854366347341255,1.0,7.4
2014-05-18 18:00:00,0.012152777777777778,8.054141414141414,67.476375,5.974,,15.0916,26.47816666666667,,,,1.0,0.4,0.6,70.62568254319447,1.0,7.2
2014-05-19 18:00:00,0.0351482259570495,9.226021505376343,31.36211764705882,,,11.11425,16.455692307692306,,,,1.0,,,65.59433333079023,1.0,7.25
2014-05-20 18:00:00,0.045818985307621685,9.12222,33.168487804878055,4.2010000000000005,,10.9154,14.976,,,1.3363333333333334,,0.25,1.0,49.69722640739293,,6.75
2014-05-21 18:00:00,0.05359477124183005,9.18289898989899,39.13451111111112,,,13.9646,27.211,,,,1.0,0.2,0.4,54.48723997592925,1.0,6.2
2014-05-22 18:00:00,0.01331300284129299,10.613755555555556,57.08028947368422,15.963000000000001,,11.880199999999999,94.17728571428572,,,,,0.4,0.4,93.7089166591564,,6.6
2014-05-23 18:00:00,0.006933714345953436,9.830960784313724,27.927119999999995,,,10.7506,15.433285714285716,,11.469666666666667,,1.0,-0.4,0.8,56.71303331851961,,7.2
2014-05-24 18:00:00,0.0400600282485876,18.15721568627451,26.387800000000006,,,12.9596,20.092333333333332,,,,,0.2,1.0,68.92895237604779,,7.0
2014-05-25 18:00:00,0.015235433604336041,8.484158415841584,48.27145945945946,,,11.953833333333334,34.421,,,,1.0,0.6,1.0,146.10051925824243,1.0,7.0
2014-05-26 18:00:00,0.04387001795091161,8.982727272727272,32.01872093023256,,,10.139,5.031499999999999,,,,1.0,,,88.06808334588995,1.0,6.25
2014-05-27 18:00:00,0.108585445740692,12.238969696969695,45.609468750000005,,,12.3766,56.998,60.49866666666665,,,1.0,-0.6,,132.30861539107102,1.0,6.4
2014-05-28 18:00:00,0.02480231646833474,19.414043165467625,43.205207317073175,,,9.39057142857143,14.625699999999998,,,,1.0,-0.5,0.8333333333333334,67.00213953783346,,7.0
2014-05-29 18:00:00,0.007833911300652197,7.114353846153846,48.244622222222205,,,9.0535,13.895280000000003,,,,,0.5,1.0,79.44820407458712,,7.25
2014-05-30 18:00:00,0.12023452561525845,12.203766423357663,52.34941509433962,,,9.030333333333333,45.183,,,2.5195,1.0,0.6666666666666666,1.0,52.731918617736476,,7.333333333333333
2014-05-31 18:00:00,0.1686395826476493,12.390915094339622,120.63584210526317,,,8.318999999999999,94.996,,,,1.0,-1.2,1.0,59.192936695074714,,7.2
2014-06-01 18:00:00,0.033721604316070936,12.210608247422682,74.58390625000001,21.205000000000002,,13.14375,49.74181250000001,,,8.29325,1.0,,,110.53216278830236,,6.5
2014-06-02 18:00:00,0.08727281073643235,9.417722891566264,42.07378181818182,,,8.62225,,,,2.41725,1.0,0.25,1.0,79.87304761296225,1.0,7.5
