,actvalue,builtvalue,commvalue,entvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-24 18:00:00,0.120241443144669,12.440333333333333,42.10294444444445,13.96020238095238,,22.89790909090909,37.988388888888885,,,,-0.4,0.6,63.77561111715105,,7.2
2014-03-25 18:00:00,0.11796616992821853,28.93327272727273,38.75387272727272,12.320969111969111,24.048461538461545,17.09875,93.83360606060606,46.921625,,1.0,0.0,0.6666666666666666,74.51117857694624,,7.0
2014-03-26 18:00:00,0.1596473104608273,6.077999999999999,39.61185915492957,9.095868571428571,,13.042833333333332,57.2112,37.7606,,,0.6,0.8,65.41364130507343,,7.6
2014-03-27 18:00:00,0.1317649118470918,66.45575,39.26165,10.766287128712872,21.1315,56.441333333333326,92.60507142857143,40.0075,,1.0,0.25,1.0,88.43938204947483,1.0,7.75
2014-03-28 18:00:00,0.1657475490196078,12.1415,42.82954666666667,10.50934965034965,,14.696875,52.44482142857142,,,,-0.4,0.8,70.2233506456598,,7.6
2014-03-29 18:00:00,0.18796451914098983,50.44699999999999,26.718999999999998,16.828042857142858,,9.282399999999999,73.40424324324326,,,1.0,0.0,1.0,92.75704999864101,1.0,7.8
2014-03-30 18:00:00,0.18473740133576189,31.169750000000004,24.468839285714285,11.852316129032257,27.522,9.2636,53.68922222222223,,,,-0.2,0.4,89.80315853037482,1.0,7.2
2014-03-31 18:00:00,0.17516113750400344,256.30175,38.13675925925926,8.024920000000002,,12.1484,90.52669565217391,,,1.0,-0.5,0.25,111.61983333934437,,7.0
2014-04-01 18:00:00,0.2017648497755267,20.64439130434783,56.08194505494506,5.650885245901638,55.666666666666664,9.9012,70.60934,22.122,,1.0,0.0,0.6,121.28837805550273,,7.4
2014-04-02 18:00:00,0.21651834254074198,51.536846153846156,46.111820512820515,9.144107142857141,,9.628,54.200078947368425,41.879000000000005,,1.0,0.0,0.6,77.5578709667729,,7.0
2014-04-03 18:00:00,0.14334733893557433,47.544105263157896,54.08998571428572,7.806538461538461,,9.9876,55.10036363636363,70.41322222222222,,,-0.8,0.0,110.84373684619602,,6.8
2014-04-04 18:00:00,0.26094056847545216,36.73571428571428,32.64925,5.644844444444444,,10.5354,176.45658333333333,20.352,,1.0,-0.4,1.0,55.98132786985303,,7.6
2014-04-05 18:00:00,0.045833333333333316,152.73000000000002,39.25592592592592,11.392378787878789,,20.525000000000002,175.29766666666671,78.976,,1.0,-0.8,0.2,182.71029267078507,,6.6
2014-04-06 18:00:00,0.17555588942307687,31.692285714285713,51.49872093023255,3.4824166666666665,,9.0738,67.02825,,,1.0,-0.4,0.0,121.87888570513063,,6.2
2014-04-07 18:00:00,0.16105967078189296,27.61076,37.900135416666664,7.669257142857144,57.60566666666666,11.401666666666666,45.72582142857142,20.729499999999998,,1.0,-0.4,0.0,65.55345744021393,,6.4
2014-04-08 18:00:00,0.1378998968008256,133.66129411764703,52.594028571428574,11.374883720930232,473.817,10.87825,80.61965384615384,,,1.0,0.0,1.0,95.6406333208084,1.0,7.8
2014-04-09 18:00:00,0.20673141673141676,209.029,40.61415044247787,8.414021276595744,,11.3622,90.43433333333334,45.53639999999999,,1.0,0.2,0.8,103.55074510387351,,7.4
2014-04-10 18:00:00,0.14823638233849173,108.20116666666667,40.43686046511628,36.88672514619883,90.136,8.67725,83.90217073170732,36.431,,1.0,0.0,1.0,88.36369229585698,1.0,7.833333333333333
2014-04-11 18:00:00,0.3052768056824853,16.111642857142858,21.41128571428571,10.308234939759036,,22.7855,79.56776923076924,27.035199999999996,,,0.25,0.75,61.40406667656369,,8.0
2014-04-12 18:00:00,0.314047619047619,108.35481818181819,55.92553488372093,6.826891089108912,,8.501142857142858,35.53658333333333,28.720333333333333,,1.0,-0.8,0.6,116.5467317220642,,7.0
2014-04-13 18:00:00,0.20144925972443428,44.942857142857136,39.42514117647059,4.339282051282051,,10.3645,85.10681481481483,35.425333333333334,,1.0,-0.75,0.75,74.01703613350188,,7.25
2014-04-14 18:00:00,0.1849170283031742,63.976375000000004,45.827671641791056,6.47534328358209,50.54,13.799000000000001,82.3234,18.202,,1.0,-0.5,0.75,89.47354097835354,1.0,7.0
2014-04-15 18:00:00,0.1513676058658757,91.94247368421053,38.043800000000005,8.254825327510918,18.5,10.630333333333335,44.109852459016395,20.15775,,1.0,0.0,0.2,89.7021009047097,,7.2
2014-04-16 18:00:00,0.17210720036806992,99.53382352941178,56.903731092436985,13.98637168141593,29.5987,96.54406666666667,82.94134615384613,,,1.0,0.2,0.4,171.6415794452775,,7.0
2014-04-17 18:00:00,0.1419671094244149,91.91807692307694,41.0208376068376,11.893352380952383,2.005,10.138666666666667,43.823433333333334,46.15375,,1.0,-0.6,0.6,95.77357010752242,,6.4
2014-04-18 18:00:00,0.09988425925925931,33.159555555555556,50.502067796610156,11.182066666666666,10.072,13.9515,42.739285714285714,116.222,,1.0,-0.25,0.5,60.342658825481664,,6.5
2014-04-19 18:00:00,0.03472222222222219,21.023000000000003,35.957205882352945,11.593298701298702,,7.404166666666666,111.31483333333333,,,,0.8,1.0,73.92389092878862,,8.2
2014-04-20 18:00:00,0.07880619091137779,14.5155,33.72327419354838,14.934465838509317,,14.021600000000001,79.8480625,,,1.0,-0.2,0.4,90.08088460641032,,7.0
2014-04-21 18:00:00,0.13050835718902945,87.64977777777777,41.9048992248062,9.248608870967741,14.655333333333333,12.891,61.19920689655173,53.431285714285714,,1.0,0.16666666666666666,0.6666666666666666,68.94774521687985,1.0,7.166666666666667
