,actvalue,builtvalue,commvalue,entvalue,accvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-04-24 20:00:00,0.0,38.36433333333333,17.099,,,,,,,,,1.0,1.2,,72.0190000534058,1.0,7.0
2014-04-25 20:00:00,0.0138888888888889,22.89966666666667,39.456333333333326,,,,28.184666666666672,,,,,1.0,0.0,,112.93566679954513,,6.4
2014-04-26 20:00:00,0.1493055555555557,16.236578947368418,178.546705882353,,,,9.069,,,,,1.0,0.6,0.4,625.5360000729562,,6.8
2014-04-27 20:00:00,0.11,35.78060000000001,75.96549999999999,,32.21633333333333,,7.024,,,,,1.0,,0.6,434.543999910355,,7.0
2014-04-28 20:00:00,0.03666666666666667,22.839384615384617,400.1525555555555,,,,21.139,,,,,1.0,,,309.6012000083921,,7.0
2014-04-29 20:00:00,0.03,3.491,,,,,,,,,,,1.2,-0.2,3.51200008392334,,6.2
2014-04-30 20:00:00,0.068181818181818,30.149666666666672,,,,,103.0415,,,,,1.0,0.2,,126.63400006294256,,6.4
2014-05-01 20:00:00,0.0,,,,,,,,,,,1.0,0.0,,,,7.0
2014-05-02 20:00:00,0.07142857142857151,15.2184375,78.05725000000001,,,,15.069,14.115,,,,1.0,0.2,0.2,97.50450003147137,1.0,6.8
2014-05-03 20:00:00,,,,,,,,,,,,1.0,0.0,0.6,,,7.0
2014-05-04 20:00:00,0.0,29.013999999999996,,,,,,,,,,1.0,0.8,0.8,86.05599987506865,,7.0
2014-05-05 20:00:00,0.515527950310559,10.41816129032258,76.4464,336.04,,,,18.455333333333332,23.103,,,1.0,,,354.1677500009537,1.0,
2014-05-06 20:00:00,0.0,62.76099999999999,8.065,,,,,,,,,,-0.25,0.5,80.62166666984547,,7.0
