,actvalue,builtvalue,commvalue,entvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-04-13 13:00:00,0.05225372417545896,8.242691666666666,32.9226,94.7595,,10.296000000000001,142.21280434782608,,,,,0.0,0.2,173.44619231957662,,7.2
2014-04-14 13:00:00,0.06938369364839951,11.318230769230771,25.95983870967742,87.148,,8.8494,183.53519999999997,,,,1.0,0.4,0.4,92.9323593787849,1.0,7.0
2014-04-15 13:00:00,0.10889820617512545,14.883847826086956,23.5321,,66.48949999999999,10.839749999999999,170.9294814814815,,,,,0.0,0.25,159.08547822807157,,6.75
2014-04-16 13:00:00,0.08146883753501406,269.3124487179487,22.069210526315793,,,8.760285714285715,106.0222,,149.882,,1.0,0.2,0.2,85.07675678021198,1.0,6.8
2014-04-17 13:00:00,0.07815265673898825,33.096483221476504,30.245308641975306,,,9.251666666666667,115.99795238095237,107.875,,,,0.3333333333333333,0.0,117.17898649138368,,6.166666666666667
2014-04-18 13:00:00,0.15223218165026176,35.339392,37.4647088607595,,,10.3925,97.73977272727274,,,,,0.5,1.0,125.95858461673454,1.0,7.75
2014-04-19 13:00:00,0.12318586246680012,92.68051648351644,34.79358333333334,,,10.44,148.69812121212124,,,23.082,,0.6666666666666666,1.0,160.5379762081872,,8.0
2014-04-20 13:00:00,0.06784598653410324,4.937267857142857,25.281787878787878,21.426333333333332,,10.259800000000002,282.7008333333334,,,,,0.6,0.6,86.11594118090244,,7.2
2014-04-21 13:00:00,0.0786456602414977,32.979706666666665,34.648585714285716,190.543,,9.278,149.14211428571429,,2.009,22.112,,-0.2,0.4,114.51900001366938,,6.8
2014-04-22 13:00:00,0.10566574087262028,12.256788732394366,31.039361111111116,,,10.883,90.17947058823529,,,,,0.75,0.5,90.11254023683486,1.0,6.75
2014-04-23 13:00:00,0.09822200066467261,10.270746268656715,35.08819047619048,11.107,,9.142999999999999,143.8793,,,,1.0,0.0,0.2,89.23893847832319,,6.2
2014-04-24 13:00:00,0.0744339660452734,51.7264011299435,43.259527472527466,66.465,,9.766000000000002,75.47610526315789,,102.25166666666667,,1.0,0.0,-0.4,99.91252381177178,,5.8
2014-04-25 13:00:00,0.13472653554175307,25.81661276595744,37.51592810457516,50.098,,9.1512,83.52608888888888,137.239,,,1.0,0.6,0.8,88.24945670788681,,7.4
2014-04-26 13:00:00,0.3458047150748844,5.161711538461538,24.2083275862069,,,9.131,45.24614285714286,59.343,,,1.0,1.0,1.0,42.14257894482528,,8.0
2014-04-27 13:00:00,0.09326984324803365,7.697255555555556,32.51105,38.763,,9.097999999999999,254.10299999999998,48.738,,,1.0,0.8333333333333334,0.8333333333333334,71.00974999232726,1.0,7.833333333333333
2014-04-28 13:00:00,0.1574959150326797,7.595986577181208,41.64150793650794,60.423750000000005,,11.2902,92.63835483870969,,,26.402,1.0,0.8,0.6,92.85761643762459,,7.0
2014-04-29 13:00:00,0.0754943502824859,11.655154761904763,30.588700000000003,,,9.69625,93.48722222222221,,,,,0.5,0.5,84.5250952584403,,7.0
2014-04-30 13:00:00,0.09030403828197948,7.41395890410959,41.86391,18.7885,,8.955333333333334,113.30782352941176,,,,1.0,-0.16666666666666666,0.16666666666666666,93.47062819126323,,6.166666666666667
2014-05-01 13:00:00,0.10963313045680073,14.08804109589041,26.601555555555553,,,7.065,135.7936842105263,36.207,,,1.0,0.0,0.5,60.12149999575183,,7.0
2014-05-02 13:00:00,0.13561613585987364,10.546949579831933,46.53330952380952,102.27333333333333,,10.612166666666667,129.11109523809523,,106.02925,,1.0,0.0,0.8333333333333334,85.79065082943629,,7.5
2014-05-03 13:00:00,0.03291576594405879,6.9590781250000004,33.72825,25.282,,9.3096,203.71275,,,,1.0,0.0,0.8,140.59400001816115,,7.8
2014-05-04 13:00:00,0.051245026996305766,6.179661290322581,25.6704,77.555,,10.080250000000001,89.92066666666665,,,,,0.0,0.25,98.03362962934713,,7.0
2014-05-05 13:00:00,0.10944057707828898,10.298,26.55363636363637,49.334,,8.107333333333333,201.84775,,30.178,,1.0,0.3333333333333333,0.3333333333333333,128.52973584858879,1.0,6.666666666666667
2014-05-06 13:00:00,0.033305576728442504,6.344764705882353,16.672294117647056,137.375,,6.015,77.09353191489362,,84.537,,,0.0,0.0,95.33269812475967,1.0,6.0
2014-05-07 13:00:00,0.0931259792052414,7.918051282051281,13.865033333333335,24.278,,6.9108,103.76828571428571,,3.16,,1.0,0.0,0.4,45.590975004434576,,6.8
2014-05-08 13:00:00,0.1189824376078115,108.58814893617021,27.064289256198347,143.047875,,7.908500000000001,85.32840540540542,,90.08436363636363,,,-0.16666666666666666,0.5,117.40432351944496,,6.666666666666667
2014-05-09 13:00:00,0.07128060263653484,6.562657142857143,26.699728395061726,146.56366666666665,,12.266399999999999,119.03742857142858,,48.784,30.225,1.0,0.2,0.8,117.8604999941748,,7.4
