,actvalue,builtvalue,commvalue,entvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-17 14:00:00,0.07218127387620799,37.62866666666667,61.58022784810127,12.719836956521737,,8.009333333333334,,,3.5340000000000003,7.0936666666666675,1.0,0.4,1.0,111.6632391447607,1.0,7.0
2014-03-18 14:00:00,0.14067923738879876,11.736642857142856,50.62459523809524,14.975726027397261,,16.081857142857142,,,6.3058000000000005,6.789666666666665,1.0,0.5,1.0,50.61801390184297,,7.5
2014-03-19 14:00:00,0.12006078095875543,17.59657142857143,70.27550561797753,4.814803030303029,,8.809636363636365,,,10.0765,9.034,,1.25,0.75,84.79497561222168,1.0,7.0
2014-03-20 14:00:00,0.07865775720398603,15.367857142857142,35.88698461538461,10.38152,,13.4742,,,,,,0.75,0.75,49.479295073962604,,7.25
2014-03-21 14:00:00,0.04291932835602125,16.82890909090909,42.348140350877195,7.600987654320987,,11.011625,,,,7.0360000000000005,1.0,-1.0,0.0,36.535404248440535,1.0,5.6
2014-03-22 14:00:00,0.07275498187436892,5.6038,31.445361111111115,23.725885714285713,,11.239666666666666,,,,,1.0,-1.25,-0.75,46.95783720460051,1.0,4.25
2014-03-23 14:00:00,0.029593202140742954,51.8078,64.0674193548387,8.809382352941174,,12.729199999999999,,,,,,-2.0,-1.25,89.95213794708252,1.0,4.0
2014-03-24 14:00:00,0.008715136429696086,163.87714285714284,94.3635064935065,61.52068421052632,,23.168777777777777,,,35.77425000000001,57.522,,-2.0,-0.5,148.38973017344395,1.0,4.25
2014-03-25 14:00:00,0.06373773861429992,22.706999999999997,100.88794117647059,18.08070886075949,,27.415142857142857,,,18.2178,104.64425,,-0.75,0.25,97.31797500848774,1.0,5.5
2014-03-26 14:00:00,0.027837448249376544,37.209769230769226,86.82944897959183,13.621291666666664,,12.426428571428572,,,27.09783333333333,21.25,1.0,-0.75,0.25,126.07701235936017,1.0,5.5
2014-03-27 14:00:00,0.08069432306103975,22.86057142857143,67.70545360824742,55.232151162790686,,18.43583333333333,,,15.602,5.035,,0.0,0.2,83.68288118532385,,6.0
2014-03-28 14:00:00,0.06610779515133176,17.52877419354839,43.98653846153847,6.73441304347826,,11.792555555555557,115.00233333333334,,16.2665,21.403666666666666,1.0,0.0,1.0,55.19746913733306,1.0,6.4
2014-03-29 14:00:00,0.10102959168814167,15.7535,24.628078431372547,4.703545454545456,,17.626,,,,29.3385,,-0.8,1.0,27.990322593719718,,6.2
2014-03-30 14:00:00,0.04245945496148609,11.697080000000001,40.68668965517242,5.219444444444445,,20.805799999999998,,,26.238166666666668,51.87200000000001,1.0,-0.6,0.8,53.37077047785774,,6.6
2014-03-31 14:00:00,0.08731931172827334,10.7978,48.27215555555557,28.271583333333332,,9.052153846153846,,,17.54925,,,-0.4,1.0,35.13854716633851,,6.8
2014-04-01 14:00:00,0.093164447031649,17.013478260869565,39.0911,5.143767441860465,,11.247,50.92957142857143,,6.6592,9.5655,,,,39.98907140323096,,6.8
2014-04-02 14:00:00,0.026734906604264846,54.44035714285713,39.01094805194805,18.03107317073171,,9.4539,79.663,,29.270666666666667,5.053000000000001,,-0.8,0.8,66.34466264046816,,7.2
2014-04-03 14:00:00,0.05563223123385608,9.442,35.06908219178082,5.230029411764706,,10.798124999999999,71.96200000000002,,,,,-1.2,1.0,51.48181665738421,,7.2
2014-04-04 14:00:00,0.06248629041918816,38.16131250000001,58.23469523809523,4.138189873417722,,20.746692307692307,57.1875,,17.18,11.255500000000001,1.0,-0.6,1.0,76.44640678470424,,7.2
2014-04-05 14:00:00,0.1008510010481763,9.319545454545453,42.869325,3.812416666666667,,39.18227272727273,6.0360000000000005,,23.5052,7.299799999999999,1.0,0.25,1.0,45.31092857827946,,7.0
2014-04-06 14:00:00,0.0646338733790681,24.207800000000002,28.515070422535214,14.822491525423725,,6.811909090909092,,,46.25100000000001,8.026333333333332,,0.0,0.8,38.53296054350702,,6.8
2014-04-07 14:00:00,0.03226258942013043,15.720839999999999,43.61845348837209,26.194478873239444,,43.218066666666665,,,,4.062,1.0,-0.3333333333333333,0.6666666666666666,48.443153057779604,,6.666666666666667
2014-04-08 14:00:00,0.1335642042990092,7.97384375,27.029795918367352,5.57794214876033,,11.598142857142859,,,3.5220000000000002,4.016,1.0,0.25,0.25,19.133934957225147,,6.75
